Date,Relative Humidity Average (pct),Air Temperature Average (degF),Precipitation Increment - Snow-adj (in),Soil Moisture Percent -8in (pct) Start of Day Values
6/15/00,56,48,0,11.3
6/16/00,76,44,0,10.6
6/17/00,48,49,0,10.1
6/18/00,68,54,0,9.7
6/19/00,70,44,0,9.5
6/20/00,73,47,0,9.2
6/21/00,49,56,0,9
6/22/00,55,58,0,8.7
6/23/00,36,56,0,8.6
6/24/00,64,55,0,8.3
6/25/00,52,55,0,7.9
6/26/00,39,56,0,7.7
6/27/00,51,57,0,7.4
6/28/00,36,58,0,7
6/29/00,29,60,0,6.7
6/30/00,58,63,0,6.2
7/1/00,55,59,0,5.5
7/2/00,57,55,0,5.1
7/3/00,64,48,0,4.4
7/4/00,45,47,0,4.1
7/5/00,82,52,0,3.9
7/6/00,59,48,0,3.7
7/7/00,47,54,0.1,3.3
7/8/00,53,58,0,3.2
7/9/00,41,55,0,3
7/10/00,43,57,0,2.6
7/11/00,32,61,0,2.4
7/12/00,21,67,0,2.2
7/13/00,18,66,0,2.2
7/14/00,22,65,0,1.9
7/15/00,17,61,0,1.8
7/16/00,34,65,0,1.5
7/17/00,80,58,0.2,1.5
7/18/00,43,57,0,1.6
7/19/00,41,59,0,1.4
7/20/00,30,61,0,1.3
7/21/00,17,65,0,1.3
7/22/00,24,70,0,1.3
7/23/00,24,63,0,1.3
7/24/00,26,62,0,1.2
7/25/00,25,63,0,1.2
7/26/00,33,63,0,1.1
7/27/00,29,64,0,1
7/28/00,20,67,0,1
7/29/00,24,71,0,1
7/30/00,18,72,0,0.9
7/31/00,27,74,0,0.9
8/1/00,34,71,0,0.9
8/2/00,7,68,0,0.8
8/3/00,80,65,0,0.6
8/4/00,75,58,0.1,0.7
8/5/00,27,61,0,0.7
8/6/00,34,62,0,0.5
8/7/00,21,64,0,0.5
8/8/00,24,66,0,0.5
8/9/00,23,69,0,0.5
8/10/00,29,66,0,0.6
8/11/00,31,56,0,0.4
8/12/00,16,61,0,0.3
8/13/00,29,60,0,0.4
8/14/00,18,60,0,0.3
8/15/00,13,62,0,0.4
8/16/00,16,61,0,0.3
8/17/00,16,63,0,0.1
8/18/00,29,61,0,0.2
8/19/00,44,54,0,0.2
8/20/00,30,51,0,0.3
8/21/00,31,53,0,0
8/22/00,,59,0,0
8/23/00,,63,0,
8/24/00,,61,0,
8/25/00,,62,0,
8/26/00,,60,0,
8/27/00,,57,0,
8/28/00,,56,0,
8/29/00,,58,0,
8/30/00,,54,0,
8/31/00,,49,0.2,
9/1/00,,42,0.3,
9/2/00,,34,0.3,
9/3/00,,36,0.1,
9/4/00,,46,0,
9/5/00,,39,0,
9/6/00,,39,0,
9/7/00,,45,0,
9/8/00,,48,0,
9/9/00,,38,0,
9/10/00,,44,0,
9/11/00,,46,0,
9/12/00,,54,0,
9/13/00,,59,0,
9/14/00,,65,0,
9/15/00,,62,0,
9/16/00,,60,0,
9/17/00,,56,0,
9/18/00,,55,0,
9/19/00,,49,0,
9/20/00,,45,0,
9/21/00,,42,0,
9/22/00,,31,0.2,
9/23/00,,28,0,
9/24/00,,35,0,
9/25/00,,40,0,
9/26/00,,43,0,
9/27/00,,48,0,
9/28/00,,54,0,
9/29/00,,48,0,
9/30/00,,49,0,
10/1/00,,44,0.2,
10/2/00,,38,0,
10/3/00,,35,0,
10/4/00,,36,0,
10/5/00,,33,0,
10/6/00,,38,0,
10/7/00,,43,0,
10/8/00,,45,0,
10/9/00,,52,0,
10/10/00,,37,0.4,
10/11/00,,31,0.5,
10/12/00,,30,0.7,
10/13/00,,,0.1,
10/14/00,100,32,0.2,
10/15/00,100,31,0,0
10/16/00,91,37,0,0
10/17/00,72,42,0,0
10/18/00,61,41,0,3.8
10/19/00,71,38,0,6.1
10/20/00,100,40,0.3,7.8
10/21/00,100,25,0.1,10.1
10/22/00,100,25,0,10.4
10/23/00,91,33,0.2,9.9
10/24/00,100,36,0,9.7
10/25/00,90,36,0.1,9.4
10/26/00,100,35,0.2,9.3
10/27/00,100,32,0,9.4
10/28/00,100,31,0.4,9.8
10/29/00,100,27,0.9,10.1
10/30/00,100,27,0,10.1
10/31/00,100,28,0,10
11/1/00,100,21,0,9.9
11/2/00,100,20,0,9.8
11/3/00,100,24,0,9.7
11/4/00,100,25,0.2,9.6
11/5/00,100,19,0,9.6
11/6/00,96,15,0,9.5
11/7/00,85,17,0.1,9.4
11/8/00,100,18,0.3,9.3
11/9/00,100,16,0.4,9.2
11/10/00,100,15,0,9.1
11/11/00,100,11,0,9
11/12/00,100,9,0.1,9.1
11/13/00,100,11,0.1,9
11/14/00,100,15,0.1,8.9
11/15/00,100,12,0,8.7
11/16/00,100,12,0,8.7
11/17/00,97,13,0,8.7
11/18/00,100,19,0.1,8.6
11/19/00,100,24,0,8.5
11/20/00,39,26,0.1,8.4
11/21/00,51,31,0,8.5
11/22/00,43,28,0,8.4
11/23/00,100,27,0,8.3
11/24/00,85,22,0,8.1
11/25/00,100,23,0.1,8.2
11/26/00,100,24,0.1,8.1
11/27/00,100,21,0.6,8.1
11/28/00,100,16,0.1,8
11/29/00,100,26,0.8,8
11/30/00,100,20,0,7.9
12/1/00,70,22,0,8
12/2/00,100,25,0,8
12/3/00,55,27,0,7.9
12/4/00,51,29,0,7.9
12/5/00,81,30,0,7.9
12/6/00,65,29,0,7.9
12/7/00,82,29,0,7.8
12/8/00,100,24,0,7.8
12/9/00,100,24,0.4,7.8
12/10/00,100,11,0.1,7.7
12/11/00,82,8,0,7.7
12/12/00,100,13,0,7.7
12/13/00,100,14,0.4,7.7
12/14/00,100,20,1.1,7.7
12/15/00,100,14,0.5,7.6
12/16/00,100,18,0.2,7.5
12/17/00,100,15,0.2,7.6
12/18/00,100,12,0,7.5
12/19/00,100,20,0.1,7.5
12/20/00,94,16,0,7.4
12/21/00,100,24,0.2,7.5
12/22/00,100,23,0.6,7.4
12/23/00,100,24,0.3,7.5
12/24/00,100,20,0.3,7.5
12/25/00,100,16,0,7.4
12/26/00,100,26,0,7.4
12/27/00,98,28,0,7.3
12/28/00,60,22,0,7.4
12/29/00,100,27,0,7.4
12/30/00,100,26,0,7.4
12/31/00,99,25,0,7.4
1/1/01,42,24,0,7.4
1/2/01,29,27,0,7.4
1/3/01,28,32,0,7.4
1/4/01,71,33,0,7.4
1/5/01,84,32,0,7.5
1/6/01,30,26,0,7.3
1/7/01,17,23,0,7.3
1/8/01,100,27,0.1,7.3
1/9/01,100,24,0,7.3
1/10/01,97,21,0.2,7.3
1/11/01,100,24,0.5,7.3
1/12/01,100,19,0.6,7.3
1/13/01,100,16,0,7.2
1/14/01,100,15,0.1,7.3
1/15/01,99,8,0,7.3
1/16/01,100,6,0,7.3
1/17/01,98,15,0,7.3
1/18/01,100,22,0.1,7.3
1/19/01,100,22,0.3,7.2
1/20/01,79,15,0,7.2
1/21/01,85,25,0,7.2
1/22/01,100,24,0,7.2
1/23/01,69,26,0,7.1
1/24/01,100,26,0.1,7.1
1/25/01,100,18,0.1,7.1
1/26/01,100,16,0,7.3
1/27/01,56,17,0,7.1
1/28/01,35,21,0,7.1
1/29/01,100,16,0.1,7.2
1/30/01,100,10,0,7.2
1/31/01,100,17,0.1,7.2
2/1/01,100,21,0,7.2
2/2/01,100,24,0.5,7.1
2/3/01,100,22,0,7.1
2/4/01,79,30,0.1,7.2
2/5/01,89,22,0,7.1
2/6/01,100,14,0,7.1
2/7/01,92,8,0,7.1
2/8/01,94,5,0,7.1
2/9/01,100,9,0.1,6.9
2/10/01,100,14,0.2,6.9
2/11/01,100,14,0,7
2/12/01,100,16,0.1,7.1
2/13/01,100,12,0,6.9
2/14/01,100,12,0,7
2/15/01,100,21,0.1,7
2/16/01,100,22,0,6.9
2/17/01,78,25,0,6.9
2/18/01,99,25,0,6.9
2/19/01,100,25,0.1,6.9
2/20/01,100,24,0.4,7
2/21/01,100,23,0.4,6.8
2/22/01,100,22,0.1,6.8
2/23/01,100,21,0,6.8
2/24/01,100,17,0,6.8
2/25/01,100,18,0,6.8
2/26/01,100,17,0,6.7
2/27/01,98,13,0,6.7
2/28/01,63,15,0,6.7
3/1/01,61,22,0.1,6.6
3/2/01,100,21,0.1,6.7
3/3/01,86,17,0,6.7
3/4/01,100,26,0.2,6.8
3/5/01,97,29,0.1,6.6
3/6/01,96,32,0,6.6
3/7/01,90,33,0,6.7
3/8/01,100,32,0.1,6.7
3/9/01,100,28,0.4,6.7
3/10/01,100,27,0,6.6
3/11/01,99,23,0,6.6
3/12/01,99,28,0,6.6
3/13/01,79,29,0,6.6
3/14/01,83,20,0,6.6
3/15/01,100,22,0,6.6
3/16/01,100,23,0.2,6.6
3/17/01,100,24,0,6.5
3/18/01,100,30,0.1,6.5
3/19/01,100,36,0.3,6.7
3/20/01,86,36,0,6.6
3/21/01,49,34,0,6.6
3/22/01,81,35,0,6.7
3/23/01,100,38,0,6.9
3/24/01,77,39,0,7
3/25/01,100,32,0.2,7.3
3/26/01,100,25,0,7.5
3/27/01,100,24,0.2,7.9
3/28/01,100,29,0.2,8
3/29/01,99,30,0.1,8.3
3/30/01,80,29,0.1,8.4
3/31/01,100,30,0.1,8.4
4/1/01,91,29,0.1,8.4
4/2/01,100,21,0.4,8.3
4/3/01,100,17,0,8.5
4/4/01,100,21,0,8.5
4/5/01,81,25,0.1,8.5
4/6/01,100,26,0,8.5
4/7/01,100,24,0.6,8.5
4/8/01,100,17,0,8.5
4/9/01,100,18,0.1,8.5
4/10/01,100,20,0,8.6
4/11/01,100,22,0.5,8.5
4/12/01,100,21,0.2,8.5
4/13/01,100,22,0.1,8.5
4/14/01,100,21,0.1,8.5
4/15/01,83,30,0.1,8.5
4/16/01,55,41,0.1,8.5
4/17/01,63,42,0,8.6
4/18/01,78,40,0,8.6
4/19/01,99,31,0,8.6
4/20/01,100,28,0.5,8.6
4/21/01,100,28,0.1,8.6
4/22/01,100,28,0.2,8.7
4/23/01,100,33,0.1,8.7
4/24/01,91,41,0,8.8
4/25/01,80,46,0,8.8
4/26/01,93,48,0,8.9
4/27/01,99,44,0.4,9.4
4/28/01,100,37,0,11.1
4/29/01,82,34,0,11.6
4/30/01,99,38,0.4,11.5
5/1/01,98,24,0,11.4
5/2/01,85,24,0,12
5/3/01,72,34,0.2,11.7
5/4/01,73,41,0,11.5
5/5/01,60,37,0,11.3
5/6/01,72,34,0,11.3
5/7/01,58,43,0.1,11.4
5/8/01,57,48,0,11.5
5/9/01,52,44,0,11.9
5/10/01,50,43,0,12.5
5/11/01,34,49,0,12.5
5/12/01,65,54,0,12.7
5/13/01,90,47,0,14.9
5/14/01,100,43,0.5,15.1
5/15/01,100,36,0.9,15.3
5/16/01,65,37,0.2,18.1
5/17/01,72,42,0.1,16.2
5/18/01,100,43,0,14.9
5/19/01,73,44,0,15.3
5/20/01,78,38,0,15.4
5/21/01,75,42,0.1,15.2
5/22/01,60,52,0,14.9
5/23/01,45,56,0,16.3
5/24/01,45,60,0,17.1
5/25/01,56,58,0,15.5
5/26/01,89,52,0.2,14.3
5/27/01,69,54,0,13.8
5/28/01,55,51,0,13.8
5/29/01,63,42,0,13.3
5/30/01,79,46,0,12.9
5/31/01,27,52,0,12.3
6/1/01,62,59,0,12.1
6/2/01,88,44,0,11.9
6/3/01,100,28,0.5,11.6
6/4/01,100,30,0.4,11.6
6/5/01,100,36,0.1,11.4
6/6/01,70,41,0,11.7
6/7/01,53,52,0,12.3
6/8/01,37,58,0,12.6
6/9/01,64,54,0,12.6
6/10/01,79,52,0,12.3
6/11/01,100,42,0.1,12.1
6/12/01,100,32,0.1,12
6/13/01,92,35,0,12.1
6/14/01,70,43,0,12.3
6/15/01,22,46,0,12.3
6/16/01,35,55,0,12.1
6/17/01,51,53,0,12.1
6/18/01,48,45,0,12
6/19/01,58,51,0,11.7
6/20/01,50,58,0,11.6
6/21/01,33,63,0,11.4
6/22/01,41,65,0,11
6/23/01,29,60,0,10.4
6/24/01,55,55,0,9.9
6/25/01,84,47,0.1,9.3
6/26/01,76,55,0,8.7
6/27/01,100,54,0,8.3
6/28/01,69,54,0,7.8
6/29/01,40,62,0,7.2
6/30/01,29,64,0,6.7
7/1/01,28,65,0,6.1
7/2/01,16,67,0,5.5
7/3/01,27,72,0.2,4.9
7/4/01,52,71,0,4.2
7/5/01,85,63,0,3.8
7/6/01,42,62,0,3.6
7/7/01,91,54,0,3.5
7/8/01,95,59,0,3.1
7/9/01,90,55,0.1,3.1
7/10/01,91,55,0.1,3
7/11/01,74,58,0,2.9
7/12/01,51,59,0,2.9
7/13/01,63,62,0,2.8
7/14/01,83,59,0,2.7
7/15/01,97,55,0.2,2.8
7/16/01,84,49,0,2.5
7/17/01,55,50,0,2.6
7/18/01,77,51,0,2.4
7/19/01,67,51,0,2.3
7/20/01,47,57,0,2.2
7/21/01,53,56,0,2.3
7/22/01,55,54,0,2.1
7/23/01,57,57,0,2
7/24/01,48,59,0,2
7/25/01,36,61,0,2
7/26/01,21,61,0,1.6
7/27/01,23,63,0,1.5
7/28/01,31,59,0,1.5
7/29/01,56,55,0,1.4
7/30/01,100,43,0.5,1.3
7/31/01,69,45,0.1,1.4
8/1/01,47,56,0,1.3
8/2/01,31,65,0,1.4
8/3/01,66,64,0,1.5
8/4/01,45,59,0,1.4
8/5/01,31,62,0,1.3
8/6/01,18,69,0,1.2
8/7/01,30,71,0,1.1
8/8/01,20,69,0,1.4
8/9/01,69,61,0,1.1
8/10/01,46,63,0,1
8/11/01,30,65,0,0.9
8/12/01,43,65,0,0.8
8/13/01,47,63,0,1
8/14/01,37,64,0,0.8
8/15/01,41,64,0,0.5
8/16/01,27,65,0,0.7
8/17/01,16,69,0,0.6
8/18/01,36,64,0,0.6
8/19/01,25,59,0,0.6
8/20/01,25,60,0,0.6
8/21/01,42,59,0,0.3
8/22/01,29,59,0,0.4
8/23/01,49,54,0,0.4
8/24/01,26,55,0,0.3
8/25/01,18,59,0,0.2
8/26/01,14,67,0,0.3
8/27/01,26,68,0,0.3
8/28/01,35,63,0,0.1
8/29/01,23,61,0,0
8/30/01,44,63,0,0.2
8/31/01,47,62,0,0
9/1/01,44,61,0,0
9/2/01,33,61,0,0
9/3/01,33,62,0,0
9/4/01,52,61,0,0
9/5/01,100,51,0.2,0
9/6/01,96,34,0.7,0
9/7/01,61,40,0,0
9/8/01,75,39,0.2,0
9/9/01,39,49,0,3.1
9/10/01,28,55,0.1,4.3
9/11/01,23,59,0,4.2
9/12/01,99,54,0,3.6
9/13/01,100,46,0.3,3.1
9/14/01,100,48,0,2.8
9/15/01,99,51,0,2.6
9/16/01,99,46,0.1,2.4
9/17/01,97,47,0.1,2.2
9/18/01,64,50,0,2.2
9/19/01,33,49,0,2
9/20/01,39,50,0,1.8
9/21/01,30,52,0,1.7
9/22/01,25,52,0,1.4
9/23/01,21,60,0,1.2
9/24/01,20,60,0,1.2
9/25/01,90,51,0,0.7
9/26/01,58,46,0,0.7
9/27/01,34,54,0,0.5
9/28/01,59,50,0,0.5
9/29/01,41,46,0,0.6
9/30/01,33,51,0,0.4
10/1/01,31,55,0,0.1
10/2/01,27,52,0,0.2
10/3/01,42,50,0,0.1
10/4/01,53,46,0,0
10/5/01,32,42,0,0
10/6/01,51,45,0,0
10/7/01,56,45,0,0
10/8/01,100,36,0,0
10/9/01,88,26,0,0
10/10/01,99,31,0,0
10/11/01,100,26,0.8,0
10/12/01,100,26,0.1,0
10/13/01,72,35,0,0
10/14/01,78,35,0,0
10/15/01,30,36,0.1,0
10/16/01,45,45,0,0
10/17/01,33,36,0.1,0
10/18/01,53,33,0,0
10/19/01,82,38,0,0.7
10/20/01,22,37,0,1.2
10/21/01,97,39,0,1.8
10/22/01,100,33,0.7,2
10/23/01,100,24,0.1,2.4
10/24/01,100,20,0,3
10/25/01,96,29,0.1,5.6
10/26/01,41,40,0.1,6.1
10/27/01,82,41,0,6.3
10/28/01,100,36,0.1,6.2
10/29/01,75,40,0.1,6.7
10/30/01,100,38,0.7,8.2
10/31/01,100,31,0.5,8.5
11/1/01,100,30,0.1,10
11/2/01,99,32,0,9.8
11/3/01,39,36,0,9.6
11/4/01,56,41,0,9.3
11/5/01,67,38,0,9.4
11/6/01,74,36,0,9.1
11/7/01,88,28,0,9.1
11/8/01,8,35,0,9.1
11/9/01,64,37,0,9.2
11/10/01,79,35,0,9
11/11/01,91,37,0,8.8
11/12/01,100,39,0,8.8
11/13/01,100,33,0,8.7
11/14/01,100,33,0,8.6
11/15/01,93,38,0,8.6
11/16/01,91,39,0,8.7
11/17/01,100,31,0.1,8.5
11/18/01,100,28,0.1,8.6
11/19/01,73,31,0,8.5
11/20/01,100,32,0.3,8.5
11/21/01,100,27,1,8.6
11/22/01,100,26,0.6,8.6
11/23/01,100,18,0,8.5
11/24/01,100,16,0.8,8.5
11/25/01,100,18,0.3,8.7
11/26/01,100,14,0,8.5
11/27/01,100,7,0,8.6
11/28/01,100,11,0.9,8.6
11/29/01,100,19,0.6,8.4
11/30/01,100,14,0,8.5
12/1/01,100,18,1.4,8.4
12/2/01,100,22,1.2,8.3
12/3/01,100,19,0.4,8.3
12/4/01,100,10,0,8.4
12/5/01,100,13,0.9,8.4
12/6/01,100,22,1.6,8.3
12/7/01,100,17,0,8.3
12/8/01,100,21,0,8.3
12/9/01,100,18,0,8.3
12/10/01,100,10,0,8.3
12/11/01,100,10,0,8.3
12/12/01,100,11,0,8.3
12/13/01,100,21,1.8,8.3
12/14/01,100,16,0.7,8.3
12/15/01,100,7,0,8.3
12/16/01,100,17,0.2,8.3
12/17/01,100,18,0.5,8.3
12/18/01,100,16,0.5,8.3
12/19/01,100,22,0.2,8.3
12/20/01,100,24,0,8.4
12/21/01,100,15,0,8.4
12/22/01,100,13,0,8.2
12/23/01,100,13,0,8.2
12/24/01,99,18,0,8.2
12/25/01,90,17,0,8.2
12/26/01,100,20,0,8.2
12/27/01,100,22,0,8.2
12/28/01,100,23,0.2,8.2
12/29/01,100,21,0,8.2
12/30/01,100,23,0,8.2
12/31/01,100,25,0.1,8.3
1/1/02,99,24,0,8.3
1/2/02,100,26,0.1,8.4
1/3/02,100,22,0.2,8.4
1/4/02,93,14,0,8.3
1/5/02,100,22,0.1,8.3
1/6/02,100,28,0.4,8.3
1/7/02,86,32,0,8.2
1/8/02,100,31,0,8.2
1/9/02,87,21,0,8.2
1/10/02,39,22,0,8.2
1/11/02,89,31,0,8.2
1/12/02,100,27,0,8.4
1/13/02,84,15,0,8.4
1/14/02,100,15,0,8.3
1/15/02,100,10,0,8.3
1/16/02,100,6,0,8.3
1/17/02,100,10,0.1,8.3
1/18/02,100,8,0,8.3
1/19/02,100,12,0.3,8.3
1/20/02,100,16,0.8,8.3
1/21/02,100,19,1.4,8.3
1/22/02,100,9,0.2,8.3
1/23/02,100,9,0,8.3
1/24/02,100,19,0.1,8.3
1/25/02,100,23,0.4,8.4
1/26/02,100,22,0.9,8.4
1/27/02,100,10,0,8.2
1/28/02,100,2,0,8.3
1/29/02,100,0,0,8.3
1/30/02,100,6,0.1,8.3
1/31/02,100,13,0.1,8.2
2/1/02,100,15,0.1,8.3
2/2/02,100,14,0,8.3
2/3/02,100,16,0,8.3
2/4/02,100,14,0,8.3
2/5/02,85,20,0,8.2
2/6/02,71,24,0.1,8.2
2/7/02,100,25,1.1,8.2
2/8/02,100,15,0.4,8.2
2/9/02,100,13,0,8.2
2/10/02,97,20,0,8
2/11/02,86,22,0,8.1
2/12/02,49,17,0,8.1
2/13/02,77,23,0,8.1
2/14/02,74,15,0,8.1
2/15/02,25,22,0,8.2
2/16/02,83,29,0,8
2/17/02,100,28,0,8
2/18/02,100,23,0,8
2/19/02,100,22,0.7,8
2/20/02,84,19,0,8
2/21/02,100,25,0,8.1
2/22/02,84,35,0,8.1
2/23/02,100,28,0.8,8.2
2/24/02,100,18,0.2,8.1
2/25/02,99,6,0,8
2/26/02,96,11,0,8.1
2/27/02,90,17,0,8.1
2/28/02,98,12,0,8
3/1/02,97,5,0,8.1
3/2/02,95,6,0,8.1
3/3/02,80,15,0,8.1
3/4/02,55,24,0.1,8.1
3/5/02,100,27,0.1,8.1
3/6/02,100,27,0.7,8
3/7/02,100,19,0.7,8
3/8/02,100,5,0,8
3/9/02,94,15,0.1,8.1
3/10/02,100,23,0.4,8.1
3/11/02,100,28,0.5,8.1
3/12/02,100,26,0.6,8.1
3/13/02,100,16,0.3,8.1
3/14/02,100,13,0,8
3/15/02,100,12,0,8
3/16/02,100,12,0.1,8
3/17/02,100,9,0.2,8
3/18/02,100,10,0,8
3/19/02,79,24,0.2,8
3/20/02,96,31,0,8.1
3/21/02,57,36,0.1,8
3/22/02,67,39,0,8
3/23/02,100,30,0.3,8
3/24/02,100,27,0.1,8
3/25/02,100,26,0,8.2
3/26/02,81,28,0,8.1
3/27/02,80,27,0,8
3/28/02,87,27,0,8
3/29/02,73,29,0,8
3/30/02,90,32,0,8.2
3/31/02,45,36,0,8.1
4/1/02,81,36,0,8.1
4/2/02,62,29,0,8.1
4/3/02,73,33,0,8.2
4/4/02,55,36,0,8.1
4/5/02,92,44,0,8.2
4/6/02,95,37,0,8.2
4/7/02,85,31,0,8.9
4/8/02,69,34,0,9.8
4/9/02,100,33,0.3,9.8
4/10/02,100,30,0.1,9.8
4/11/02,100,33,0.1,9.7
4/12/02,81,37,0,9.7
4/13/02,100,40,0.5,9.7
4/14/02,84,36,0.7,10.3
4/15/02,100,24,0.1,11.1
4/16/02,100,22,0.3,11
4/17/02,100,24,0.5,10.8
4/18/02,100,21,0.4,10.7
4/19/02,96,25,0.1,10.5
4/20/02,94,26,0,10.5
4/21/02,100,30,0,10.4
4/22/02,65,37,0,10.3
4/23/02,62,28,0,10.3
4/24/02,51,28,0,10.1
4/25/02,68,36,0,10.3
4/26/02,100,36,0,10.2
4/27/02,88,33,0,10.1
4/28/02,80,34,0,10
4/29/02,98,39,0,10
4/30/02,100,34,0.2,9.9
5/1/02,88,38,0,9.9
5/2/02,77,38,0,10.2
5/3/02,74,34,0,10.5
5/4/02,64,36,0,10.7
5/5/02,85,35,0,10.6
5/6/02,86,35,0,10.6
