Date,Air Temperature Observed (degF) Start of Day Values,Precipitation Increment (in),Change In Precipitation Increment (in),Wind Speed Maximum (mph),Soil Moisture Percent -8in (pct) Start of Day Values
7/26/01,61,0,0,,
7/27/01,60,0,0,,
7/28/01,59,0,0,,
7/29/01,56,0,0,,
7/30/01,51,0,0,,
7/31/01,44,0,0,,
8/1/01,51,0,0,,
8/2/01,55,0,0,,
8/3/01,56,0,0,,
8/4/01,51,0,0,,
8/5/01,53,0,0,,
8/6/01,63,0,0,,
8/7/01,61,0,0,,
8/8/01,65,0,0,,
8/9/01,60,0,0,,
8/10/01,58,0,0,,
8/11/01,54,0,0,,
8/12/01,63,0,0,,
8/13/01,57,0,0,,
8/14/01,61,0,0,,
8/15/01,57,0,0,,
8/16/01,60,0,0,,
8/17/01,62,0,0,,
8/18/01,59,0,0,,
8/19/01,58,0,0,,
8/20/01,54,0,0,,
8/21/01,48,0,0,,
8/22/01,51,0,0,,
8/23/01,46,0,0,,
8/24/01,53,0,0,,
8/25/01,55,0,0,,
8/26/01,62,0,0,,
8/27/01,62,0,0,,
8/28/01,64,0,0,,
8/29/01,58,0,0,,
8/30/01,58,0,0,,
8/31/01,54,0,0,,
9/1/01,58,0,0,,
9/2/01,55,0,0,,
9/3/01,55,0,0,,
9/4/01,57,0,0,,
9/5/01,53,0,0,,
9/6/01,45,0,0,,
9/7/01,49,0,0,,
9/8/01,53,0,0,,
9/9/01,49,0,0,,
9/10/01,56,0,0,,
9/11/01,54,0,0,,
9/12/01,49,0,0,,
9/13/01,44,0,0,,
9/14/01,48,0,0,,
9/15/01,54,0,0,,
9/16/01,52,0,0,,
9/17/01,47,0,0,,
9/18/01,50,0,0,,
9/19/01,54,0,0,,
9/20/01,54,0,0,,
9/21/01,55,0,0,,
9/22/01,53,0,0,,
9/23/01,56,0,0,,
9/24/01,54,0,0,,
9/25/01,46,0.5,0.5,,
9/26/01,50,0.1,-0.4,,
9/27/01,49,0,-0.1,,
9/28/01,47,0,0,,
9/29/01,44,0.3,0.3,,
9/30/01,49,0,-0.3,,
10/1/01,55,0,0,,
10/2/01,55,0,0,,
10/3/01,55,0,0,,
10/4/01,57,0,0,,
10/5/01,49,0,0,,
10/6/01,46,0,0,,
10/7/01,48,0,0,,
10/8/01,47,0,0,,
10/9/01,36,0,0,,
10/10/01,37,0,0,,
10/11/01,46,0,0,,
10/12/01,35,0,0,,
10/13/01,47,0,0,,
10/14/01,48,0,0,,
10/15/01,49,0,0,,
10/16/01,53,0,0,,
10/17/01,48,0,0,,
10/18/01,43,0,0,,
10/19/01,46,0,0,,
10/20/01,51,0,0,,
10/21/01,46,0,0,,
10/22/01,44,0,0,,
10/23/01,41,0,0,,
10/24/01,38,0,0,,
10/25/01,47,0,0,,
10/26/01,50,0,0,,
10/27/01,47,0,0,,
10/28/01,42,0,0,,
10/29/01,44,0,0,,
10/30/01,43,1.7,1.7,,
10/31/01,33,0.1,-1.6,,
11/1/01,41,0.1,0,,
11/2/01,40,0,-0.1,,
11/3/01,37,0.1,0.1,,
11/4/01,44,0.2,0.1,,
11/5/01,45,0,-0.2,,
11/6/01,42,0,0,,
11/7/01,38,0,0,,
11/8/01,36,0,0,,
11/9/01,37,0,0,,
11/10/01,36,0,0,,
11/11/01,39,0.9,0.9,,
11/12/01,38,0.4,-0.5,,
11/13/01,28,0.6,0.2,,
11/14/01,33,0,-0.6,,
11/15/01,44,0,0,,
11/16/01,42,0,0,,
11/17/01,36,0,0,,
11/18/01,35,0,0,,
11/19/01,38,0,0,,
11/20/01,38,0,0,,
11/21/01,36,3,3,,
11/22/01,34,1.3,-1.7,,
11/23/01,26,0.2,-1.1,,
11/24/01,27,2.9,2.7,,
11/25/01,21,0.1,-2.8,,
11/26/01,18,0.4,0.3,,
11/27/01,16,0.2,-0.2,,
11/28/01,28,1,0.8,,
11/29/01,29,0.9,-0.1,,
11/30/01,20,0,-0.9,,
12/1/01,23,2.3,2.3,,
12/2/01,30,2.7,0.4,,
12/3/01,22,2,-0.7,,
12/4/01,15,0.1,-1.9,,
12/5/01,21,1.3,1.2,,
12/6/01,31,0.3,-1,,
12/7/01,31,0,-0.3,,
12/8/01,36,0,0,,
12/9/01,29,0.1,0.1,,
12/10/01,19,0,-0.1,,
12/11/01,17,0,0,,
12/12/01,22,0,0,,
12/13/01,30,0,0,,
12/14/01,24,1.6,1.6,,
12/15/01,13,0.5,-1.1,,
12/16/01,30,0,-0.5,,
12/17/01,28,1.5,1.5,,
12/18/01,25,0,-1.5,,
12/19/01,31,0,0,,
12/20/01,30,0.6,0.6,,
12/21/01,21,0.3,-0.3,,
12/22/01,22,1.5,1.2,,
12/23/01,22,0.2,-1.3,,
12/24/01,20,0.1,-0.1,,
12/25/01,33,0,-0.1,,
12/26/01,30,0.3,0.3,,
12/27/01,40,0,-0.3,,
12/28/01,32,0.5,0.5,,
12/29/01,32,0.7,0.2,,
12/30/01,35,0.6,-0.1,,
12/31/01,33,0.6,0,,
1/1/02,36,0,-0.6,,
1/2/02,37,1,1,,
1/3/02,30,0.1,-0.9,,
1/4/02,20,0.3,0.2,,
1/5/02,33,1,0.7,,
1/6/02,37,0.9,-0.1,,
1/7/02,41,0,-0.9,,
1/8/02,39,0,0,,
1/9/02,35,0,0,,
1/10/02,28,0,0,,
1/11/02,46,0,0,,
1/12/02,42,0,0,,
1/13/02,32,0,0,,
1/14/02,33,0,0,,
1/15/02,13,0,0,,
1/16/02,11,0,0,,
1/17/02,27,0,0,,
1/18/02,16,0,0,,
1/19/02,30,0,0,,
1/20/02,16,0,0,,
1/21/02,31,0,0,,
1/22/02,15,0.5,0.5,,
1/23/02,10,0.6,0.1,,
1/24/02,23,0,-0.6,,
1/25/02,35,0,0,,
1/26/02,30,0,0,,
1/27/02,20,0,0,,
1/28/02,10,0,0,,
1/29/02,6,0.7,0.7,,
1/30/02,5,0.8,0.1,,
1/31/02,15,0.4,-0.4,,
2/1/02,22,0.1,-0.3,,
2/2/02,20,0.9,0.8,,
2/3/02,29,0.1,-0.8,,
2/4/02,30,0,-0.1,,
2/5/02,34,0,0,,
2/6/02,34,0,0,,
2/7/02,31,0.4,0.4,,
2/8/02,26,0.2,-0.2,,
2/9/02,22,0,-0.2,,
2/10/02,31,0.3,0.3,,
2/11/02,42,0,-0.3,,
2/12/02,35,0,0,,
2/13/02,40,0,0,,
2/14/02,29,0.1,0.1,,
2/15/02,30,0,-0.1,,
2/16/02,32,0.3,0.3,,
2/17/02,25,0.2,-0.1,,
2/18/02,22,0.1,-0.1,,
2/19/02,25,1.4,1.3,,
2/20/02,33,1.3,-0.1,,
2/21/02,33,0,-1.3,,
2/22/02,45,0,0,,
2/23/02,32,0,0,,
2/24/02,24,0,0,,
2/25/02,33,0,0,,
2/26/02,32,0,0,,
2/27/02,36,0,0,,
2/28/02,40,0,0,,
3/1/02,16,0,0,,
3/2/02,19,0,0,,
3/3/02,28,0,0,,
3/4/02,29,0.1,0.1,,
3/5/02,30,0.6,0.5,,
3/6/02,33,2,1.4,,
3/7/02,26,0.9,-1.1,,
3/8/02,15,0.3,-0.6,,
3/9/02,29,0.2,-0.1,,
3/10/02,27,0.3,0.1,,
3/11/02,29,0.8,0.5,,
3/12/02,36,0.2,-0.6,,
3/13/02,20,0,-0.2,,
3/14/02,16,0,0,,
3/15/02,13,0.5,0.5,,
3/16/02,13,0.2,-0.3,,
3/17/02,16,0,-0.2,,
3/18/02,12,0,0,,
3/19/02,26,0.8,0.8,,
3/20/02,37,0.6,-0.2,,
3/21/02,40,0.5,-0.1,,
3/22/02,40,0.3,-0.2,,
3/23/02,28,1.3,1,,
3/24/02,26,0,-1.3,,
3/25/02,24,0.2,0.2,,
3/26/02,29,0.1,-0.1,,
3/27/02,36,0.1,0,,
3/28/02,34,0.1,0,,
3/29/02,38,0,-0.1,,
3/30/02,39,0,0,,
3/31/02,41,0.1,0.1,,
4/1/02,44,0,-0.1,,
4/2/02,42,0,0,,
4/3/02,44,0,0,,
4/4/02,44,0,0,,
4/5/02,39,0,0,,
4/6/02,35,0,0,,
4/7/02,34,0,0,,
4/8/02,37,0,0,,
4/9/02,38,0.1,0.1,,
4/10/02,34,0.1,0,,
4/11/02,38,0,-0.1,,
4/12/02,38,0,0,,
4/13/02,44,0,0,,
4/14/02,48,0,0,,
4/15/02,33,0,0,,
4/16/02,22,0.1,0.1,,
4/17/02,22,0.9,0.8,,
4/18/02,20,0.9,0,,
4/19/02,22,0,-0.9,,
4/20/02,24,0,0,,
4/21/02,28,0.3,0.3,,
4/22/02,37,0.1,-0.2,,
4/23/02,41,0.1,0,,
4/24/02,40,0,-0.1,,
4/25/02,40,0,0,,
4/26/02,37,0.2,0.2,,
4/27/02,30,0.3,0.1,,
4/28/02,25,0.3,0,,
4/29/02,34,0.4,0.1,,
4/30/02,24,0.2,-0.2,,
5/1/02,23,0.1,-0.1,,
5/2/02,32,0.2,0.1,,
5/3/02,37,0,-0.2,,
5/4/02,37,0,0,,
5/5/02,40,0.1,0.1,,
5/6/02,40,0,-0.1,,
5/7/02,37,0,0,,
5/8/02,29,0,0,,
5/9/02,36,0,0,,
5/10/02,32,0,0,,
5/11/02,30,0.2,0.2,,
5/12/02,36,0.3,0.1,,
5/13/02,44,0,-0.3,,
5/14/02,43,0,0,,
5/15/02,42,0,0,,
5/16/02,40,0,0,,
5/17/02,45,0,0,,
5/18/02,46,0,0,,
5/19/02,40,0,0,,
5/20/02,31,0.4,0.4,,
5/21/02,25,0.2,-0.2,,
5/22/02,25,0.2,0,,
5/23/02,29,0.2,0,,
5/24/02,40,0.2,0,,
5/25/02,43,0.1,-0.1,,
5/26/02,45,0,-0.1,,
5/27/02,44,0,0,,
5/28/02,42,0,0,,
5/29/02,49,0,0,,
5/30/02,57,0,0,,
5/31/02,52,0,0,,
6/1/02,53,0,0,,
6/2/02,44,0,0,,
6/3/02,43,0,0,,
6/4/02,47,0,0,,
6/5/02,52,0,0,,
6/6/02,56,0,0,,
6/7/02,52,0,0,,
6/8/02,46,0,0,,
6/9/02,29,0,0,,
6/10/02,35,0,0,,
