Date,Relative Humidity Average (pct),Air Temperature Average (degF),Precipitation Increment - Snow-adj (in),Change In Precipitation Increment - Snow-adj (in),Change In Soil Moisture Percent -8in (pct)
3/20/81,,,0.2,0,
3/21/81,,,0.1,-0.1,
3/22/81,,,0.2,0.1,
3/23/81,,,0.1,-0.1,
3/24/81,,,0.2,0.1,
3/25/81,,,1,0.8,
3/26/81,,,0.2,-0.8,
3/27/81,,,0,-0.2,
3/28/81,,,0.1,0.1,
3/29/81,,,0.2,0.1,
3/30/81,,,0.2,0,
3/31/81,,,0.1,-0.1,
4/1/81,,,0.2,0.1,
4/2/81,,,0.5,0.3,
4/3/81,,,0,-0.5,
4/4/81,,,0,0,
4/5/81,,,0,0,
4/6/81,,,0.3,0.3,
4/7/81,,,0.1,-0.2,
4/8/81,,,0,-0.1,
4/9/81,,,0,0,
4/10/81,,,0.2,0.2,
4/11/81,,,0.3,0.1,
4/12/81,,,0,-0.3,
4/13/81,,,0,0,
4/14/81,,,0,0,
4/15/81,,,0,0,
4/16/81,,,0,0,
4/17/81,,,0,0,
4/18/81,,,0.2,0.2,
4/19/81,,,0.5,0.3,
4/20/81,,,0.5,0,
4/21/81,,,0,-0.5,
4/22/81,,,0,0,
4/23/81,,,0.7,0.7,
4/24/81,,,0.1,-0.6,
4/25/81,,,0.2,0.1,
4/26/81,,,0,-0.2,
4/27/81,,,0,0,
4/28/81,,,0.1,0.1,
4/29/81,,,0,-0.1,
4/30/81,,,0,0,
5/1/81,,,0,0,
5/2/81,,,0,0,
5/3/81,,,0,0,
5/4/81,,,0,0,
5/5/81,,,0.1,0.1,
5/6/81,,,0.2,0.1,
5/7/81,,,0.2,0,
5/8/81,,,0,-0.2,
5/9/81,,,0,0,
5/10/81,,,0,0,
5/11/81,,,0.4,0.4,
5/12/81,,,0,-0.4,
5/13/81,,,0.7,0.7,
5/14/81,,,0,-0.7,
5/15/81,,,0.2,0.2,
5/16/81,,,0,-0.2,
5/17/81,,,0.1,0.1,
5/18/81,,,1.7,1.6,
5/19/81,,,0,-1.7,
5/20/81,,,0,0,
5/21/81,,,0,0,
5/22/81,,,0.3,0.3,
5/23/81,,,0.3,0,
5/24/81,,,0.5,0.2,
5/25/81,,,0.3,-0.2,
5/26/81,,,0,-0.3,
5/27/81,,,0,0,
5/28/81,,,0,0,
5/29/81,,,0,0,
5/30/81,,,0,0,
5/31/81,,,0,0,
6/1/81,,,0.1,0.1,
6/2/81,,,0,-0.1,
6/3/81,,,0,0,
6/4/81,,,0.3,0.3,
6/5/81,,,0,-0.3,
6/6/81,,,0,0,
6/7/81,,,0,0,
6/8/81,,,0,0,
6/9/81,,,2.5,2.5,
6/10/81,,,0,-2.5,
6/11/81,,,0,0,
6/12/81,,,0,0,
6/13/81,,,0,0,
6/14/81,,,0,0,
6/15/81,,,0,0,
6/16/81,,,0.4,0.4,
6/17/81,,,0,-0.4,
6/18/81,,,0,0,
6/19/81,,,0,0,
6/20/81,,,0,0,
6/21/81,,,0,0,
6/22/81,,,0,0,
6/23/81,,,0,0,
6/24/81,,,0,0,
6/25/81,,,0,0,
6/26/81,,,0,0,
6/27/81,,,0,0,
6/28/81,,,0.3,0.3,
6/29/81,,,0,-0.3,
6/30/81,,,0,0,
7/1/81,,,0,0,
7/2/81,,,0,0,
7/3/81,,,0,0,
7/4/81,,,0.4,0.4,
7/5/81,,,0.5,0.1,
7/6/81,,,0.2,-0.3,
7/7/81,,,0.1,-0.1,
7/8/81,,,0,-0.1,
7/9/81,,,0,0,
7/10/81,,,0,0,
7/11/81,,,0,0,
7/12/81,,,0,0,
7/13/81,,,0,0,
7/14/81,,,0,0,
7/15/81,,,0,0,
7/16/81,,,0,0,
7/17/81,,,0,0,
7/18/81,,,0,0,
7/19/81,,,0,0,
7/20/81,,,0,0,
7/21/81,,,0,0,
7/22/81,,,0,0,
7/23/81,,,0,0,
7/24/81,,,0,0,
7/25/81,,,0,0,
7/26/81,,,0,0,
7/27/81,,,0,0,
7/28/81,,,0,0,
7/29/81,,,0,0,
7/30/81,,,0,0,
7/31/81,,,0,0,
8/1/81,,,0,0,
8/2/81,,,0,0,
8/3/81,,,0,0,
8/4/81,,,0,0,
8/5/81,,,0,0,
8/6/81,,,0,0,
8/7/81,,,0,0,
8/8/81,,,0,0,
8/9/81,,,0.4,0.4,
8/10/81,,,0,-0.4,
8/11/81,,,0,0,
8/12/81,,,0,0,
8/13/81,,,0,0,
8/14/81,,,0,0,
8/15/81,,,0,0,
8/16/81,,,0,0,
8/17/81,,,0,0,
8/18/81,,,0,0,
8/19/81,,,0,0,
8/20/81,,,0,0,
8/21/81,,,0,0,
8/22/81,,,0,0,
8/23/81,,,0,0,
8/24/81,,,0,0,
8/25/81,,,0,0,
8/26/81,,,0,0,
8/27/81,,,0,0,
8/28/81,,,0,0,
8/29/81,,,0,0,
8/30/81,,,0,0,
8/31/81,,,0,0,
9/1/81,,,0,0,
9/2/81,,,0,0,
9/3/81,,,0,0,
9/4/81,,,0,0,
9/5/81,,,0,0,
9/6/81,,,0,0,
9/7/81,,,0,0,
9/8/81,,,0,0,
9/9/81,,,0,0,
9/10/81,,,0,0,
9/11/81,,,0,0,
9/12/81,,,0,0,
9/13/81,,,0,0,
9/14/81,,,0,0,
9/15/81,,,0,0,
9/16/81,,,0,0,
9/17/81,,,0,0,
9/18/81,,,0,0,
9/19/81,,,0,0,
9/20/81,,,0,0,
9/21/81,,,0,0,
9/22/81,,,0,0,
9/23/81,,,0,0,
9/24/81,,,0.2,0.2,
9/25/81,,,0.3,0.1,
9/26/81,,,0.3,0,
9/27/81,,,0.1,-0.2,
9/28/81,,,0,-0.1,
9/29/81,,,0,0,
9/30/81,,,0,0,
10/1/81,,,0,0,
10/2/81,,,0,0,
10/3/81,,,0,0,
10/4/81,,,0,0,
10/5/81,,,0,0,
10/6/81,,,0.1,0.1,
10/7/81,,,0.7,0.6,
10/8/81,,,0,-0.7,
10/9/81,,,0.2,0.2,
10/10/81,,,1,0.8,
10/11/81,,,0.2,-0.8,
10/12/81,,,0.2,0,
10/13/81,,,0,-0.2,
10/14/81,,,0,0,
10/15/81,,,0,0,
10/16/81,,,0,0,
10/17/81,,,0,0,
10/18/81,,,0,0,
10/19/81,,,0,0,
10/20/81,,,0,0,
10/21/81,,,0,0,
10/22/81,,,0,0,
10/23/81,,,0,0,
10/24/81,,,0,0,
10/25/81,,,0,0,
10/26/81,,,0,0,
10/27/81,,,0,0,
10/28/81,,,0.2,0.2,
10/29/81,,,0.6,0.4,
10/30/81,,,0,-0.6,
10/31/81,,,0,0,
11/1/81,,,0,0,
11/2/81,,,0,0,
11/3/81,,,0,0,
11/4/81,,,0,0,
11/5/81,,,0,0,
11/6/81,,,0,0,
11/7/81,,,0,0,
11/8/81,,,0,0,
11/9/81,,,0,0,
11/10/81,,,0.1,0.1,
11/11/81,,,0,-0.1,
11/12/81,,,1.3,1.3,
11/13/81,,,1.2,-0.1,
11/14/81,,,0.1,-1.1,
11/15/81,,,1.8,1.7,
11/16/81,,,0,-1.8,
11/17/81,,,0.7,0.7,
11/18/81,,,0,-0.7,
11/19/81,,,0.2,0.2,
11/20/81,,,0.1,-0.1,
11/21/81,,,1.6,1.5,
11/22/81,,,0.4,-1.2,
11/23/81,,,0.9,0.5,
11/24/81,,,0.4,-0.5,
11/25/81,,,0,-0.4,
11/26/81,,,0.2,0.2,
11/27/81,,,0,-0.2,
11/28/81,,,0,0,
11/29/81,,,0.2,0.2,
11/30/81,,,0.2,0,
12/1/81,,,0.2,0,
12/2/81,,,0.7,0.5,
12/3/81,,,0.2,-0.5,
12/4/81,,,0,-0.2,
12/5/81,,,0.3,0.3,
12/6/81,,,0.2,-0.1,
12/7/81,,,0,-0.2,
12/8/81,,,0,0,
12/9/81,,,0,0,
12/10/81,,,0,0,
12/11/81,,,0.1,0.1,
12/12/81,,,0.5,0.4,
12/13/81,,,0.7,0.2,
12/14/81,,,0.8,0.1,
12/15/81,,,0.8,0,
12/16/81,,,0,-0.8,
12/17/81,,,0,0,
12/18/81,,,0.7,0.7,
12/19/81,,,1.7,1,
12/20/81,,,0.3,-1.4,
12/21/81,,,0,-0.3,
12/22/81,,,0,0,
12/23/81,,,0,0,
12/24/81,,,0.3,0.3,
12/25/81,,,0,-0.3,
12/26/81,,,0.5,0.5,
12/27/81,,,0.2,-0.3,
12/28/81,,,0.5,0.3,
12/29/81,,,0.7,0.2,
12/30/81,,,0,-0.7,
12/31/81,,,0.1,0.1,
1/1/82,,,0,-0.1,
1/2/82,,,0.2,0.2,
1/3/82,,,1,0.8,
1/4/82,,,0.5,-0.5,
1/5/82,,,0,-0.5,
1/6/82,,,0,0,
1/7/82,,,0.2,0.2,
1/8/82,,,0,-0.2,
1/9/82,,,0,0,
1/10/82,,,0,0,
1/11/82,,,0,0,
1/12/82,,,0,0,
1/13/82,,,0.1,0.1,
1/14/82,,,0.2,0.1,
1/15/82,,,0.3,0.1,
1/16/82,,,0.5,0.2,
1/17/82,,,0.2,-0.3,
1/18/82,,,0.4,0.2,
1/19/82,,,0.3,-0.1,
1/20/82,,,0,-0.3,
1/21/82,,,0,0,
1/22/82,,,0,0,
1/23/82,,,1.2,1.2,
1/24/82,,,0.2,-1,
1/25/82,,,0.2,0,
1/26/82,,,0.4,0.2,
1/27/82,,,0,-0.4,
1/28/82,,,0,0,
1/29/82,,,0,0,
1/30/82,,,0,0,
1/31/82,,,0,0,
2/1/82,,,0,0,
2/2/82,,,0,0,
2/3/82,,,0,0,
2/4/82,,,0,0,
2/5/82,,,0,0,
2/6/82,,,0,0,
2/7/82,,,0,0,
2/8/82,,,0,0,
2/9/82,,,0,0,
2/10/82,,,0,0,
2/11/82,,,0,0,
2/12/82,,,0,0,
2/13/82,,,2.1,2.1,
2/14/82,,,1.9,-0.2,
2/15/82,,,1.5,-0.4,
2/16/82,,,0.5,-1,
2/17/82,,,0.4,-0.1,
2/18/82,,,0.3,-0.1,
2/19/82,,,0.6,0.3,
2/20/82,,,0.3,-0.3,
2/21/82,,,0.6,0.3,
2/22/82,,,0.1,-0.5,
2/23/82,,,0.1,0,
2/24/82,,,0.2,0.1,
2/25/82,,,0,-0.2,
2/26/82,,,0.1,0.1,
2/27/82,,,0.2,0.1,
2/28/82,,,0.2,0,
3/1/82,,,1,0.8,
3/2/82,,,0.5,-0.5,
3/3/82,,,0.8,0.3,
3/4/82,,,0.3,-0.5,
3/5/82,,,0,-0.3,
3/6/82,,,0,0,
3/7/82,,,0,0,
3/8/82,,,0.3,0.3,
3/9/82,,,0.2,-0.1,
3/10/82,,,0.4,0.2,
3/11/82,,,0.7,0.3,
3/12/82,,,0.1,-0.6,
3/13/82,,,0.1,0,
3/14/82,,,0.2,0.1,
3/15/82,,,0.4,0.2,
3/16/82,,,0,-0.4,
3/17/82,,,0.1,0.1,
3/18/82,,,0.6,0.5,
3/19/82,,,0.1,-0.5,
3/20/82,,,0,-0.1,
3/21/82,,,0.1,0.1,
3/22/82,,,0,-0.1,
3/23/82,,,0,0,
3/24/82,,,0,0,
3/25/82,,,0,0,
3/26/82,,,0,0,
3/27/82,,,0.3,0.3,
3/28/82,,,0.5,0.2,
3/29/82,,,1,0.5,
3/30/82,,,0.7,-0.3,
3/31/82,,,1.1,0.4,
4/1/82,,,0.2,-0.9,
4/2/82,,,0.7,0.5,
4/3/82,,,1.7,1,
4/4/82,,,0.1,-1.6,
4/5/82,,,0.1,0,
4/6/82,,,0.7,0.6,
4/7/82,,,0.2,-0.5,
4/8/82,,,0,-0.2,
4/9/82,,,0,0,
4/10/82,,,0.1,0.1,
4/11/82,,,1.7,1.6,
4/12/82,,,0.5,-1.2,
4/13/82,,,0.4,-0.1,
4/14/82,,,1,0.6,
4/15/82,,,0.2,-0.8,
4/16/82,,,0,-0.2,
4/17/82,,,0,0,
4/18/82,,,0,0,
4/19/82,,,0.1,0.1,
4/20/82,,,0,-0.1,
4/21/82,,,0,0,
4/22/82,,,0,0,
4/23/82,,,0,0,
4/24/82,,,0,0,
4/25/82,,,0,0,
4/26/82,,,0,0,
4/27/82,,,0,0,
4/28/82,,,0,0,
4/29/82,,,0,0,
4/30/82,,,0,0,
5/1/82,,,0,0,
5/2/82,,,0,0,
5/3/82,,,0,0,
5/4/82,,,0,0,
5/5/82,,,0,0,
5/6/82,,,0,0,
5/7/82,,,0,0,
5/8/82,,,0,0,
5/9/82,,,0,0,
5/10/82,,,0.1,0.1,
5/11/82,,,0.2,0.1,
5/12/82,,,0,-0.2,
5/13/82,,,0,0,
5/14/82,,,0,0,
5/15/82,,,0,0,
5/16/82,,,0,0,
5/17/82,,,0.2,0.2,
5/18/82,,,0.2,0,
5/19/82,,,0,-0.2,
5/20/82,,,0,0,
5/21/82,,,0,0,
5/22/82,,,0,0,
5/23/82,,,0.1,0.1,
5/24/82,,,0,-0.1,
5/25/82,,,0,0,
5/26/82,,,0,0,
5/27/82,,,0,0,
5/28/82,,,0.1,0.1,
5/29/82,,,0.4,0.3,
5/30/82,,,0,-0.4,
5/31/82,,,0,0,
6/1/82,,,0,0,
6/2/82,,,0.4,0.4,
6/3/82,,,0,-0.4,
6/4/82,,,0.4,0.4,
6/5/82,,,0.2,-0.2,
6/6/82,,,0,-0.2,
6/7/82,,,0,0,
6/8/82,,,0.2,0.2,
6/9/82,,,0,-0.2,
6/10/82,,,0,0,
6/11/82,,,0,0,
6/12/82,,,0,0,
6/13/82,,,0,0,
6/14/82,,,0,0,
6/15/82,,,0.1,0.1,
6/16/82,,,0,-0.1,
6/17/82,,,0,0,
6/18/82,,,0,0,
6/19/82,,,0,0,
6/20/82,,,0,0,
6/21/82,,,0,0,
6/22/82,,,0.2,0.2,
6/23/82,,,0.5,0.3,
6/24/82,,,0.3,-0.2,
6/25/82,,,0.2,-0.1,
6/26/82,,,0.3,0.1,
6/27/82,,,0,-0.3,
6/28/82,,,0.1,0.1,
6/29/82,,,0,-0.1,
6/30/82,,,0.2,0.2,
7/1/82,,,0.1,-0.1,
7/2/82,,,0.5,0.4,
7/3/82,,,0,-0.5,
7/4/82,,,0.2,0.2,
7/5/82,,,0,-0.2,
7/6/82,,,0.2,0.2,
7/7/82,,,0,-0.2,
7/8/82,,,0,0,
7/9/82,,,0,0,
7/10/82,,,0,0,
7/11/82,,,0.1,0.1,
7/12/82,,,0,-0.1,
7/13/82,,,0,0,
7/14/82,,,0,0,
7/15/82,,,0,0,
7/16/82,,,0,0,
7/17/82,,,0,0,
7/18/82,,,0.1,0.1,
7/19/82,,,0,-0.1,
7/20/82,,,0,0,
7/21/82,,,0,0,
7/22/82,,,0,0,
7/23/82,,,0,0,
7/24/82,,,0,0,
7/25/82,,,0.1,0.1,
7/26/82,,,0.1,0,
7/27/82,,,0,-0.1,
7/28/82,,,0.1,0.1,
7/29/82,,,0,-0.1,
7/30/82,,,0,0,
7/31/82,,,0,0,
8/1/82,,,0,0,
8/2/82,,,0,0,
8/3/82,,,0.1,0.1,
8/4/82,,,0,-0.1,
8/5/82,,,0,0,
8/6/82,,,0,0,
8/7/82,,,0.1,0.1,
8/8/82,,,0,-0.1,
8/9/82,,,0,0,
8/10/82,,,0,0,
8/11/82,,,0,0,
8/12/82,,,0,0,
8/13/82,,,0,0,
8/14/82,,,0,0,
8/15/82,,,0,0,
8/16/82,,,0,0,
8/17/82,,,0.1,0.1,
8/18/82,,,0,-0.1,
8/19/82,,,0,0,
8/20/82,,,0,0,
8/21/82,,,0,0,
8/22/82,,,0,0,
8/23/82,,,0,0,
8/24/82,,,0,0,
8/25/82,,,0,0,
8/26/82,,,0,0,
8/27/82,,,0,0,
8/28/82,,,0,0,
8/29/82,,,0.3,0.3,
8/30/82,,,0.1,-0.2,
8/31/82,,,0,-0.1,
9/1/82,,,0,0,
9/2/82,,,0,0,
9/3/82,,,0,0,
9/4/82,,,0.1,0.1,
9/5/82,,,0,-0.1,
9/6/82,,,0,0,
9/7/82,,,0,0,
9/8/82,,,0,0,
9/9/82,,,0,0,
9/10/82,,,0,0,
9/11/82,,,0,0,
9/12/82,,,0.4,0.4,
9/13/82,,,0.4,0,
9/14/82,,,0,-0.4,
9/15/82,,,0.2,0.2,
9/16/82,,,0,-0.2,
9/17/82,,,0,0,
9/18/82,,,0,0,
9/19/82,,,1.2,1.2,
9/20/82,,,0,-1.2,
9/21/82,,,0,0,
9/22/82,,,0,0,
9/23/82,,,0,0,
9/24/82,,,0,0,
9/25/82,,,0.6,0.6,
9/26/82,,,0,-0.6,
9/27/82,,,0,0,
9/28/82,,,0.4,0.4,
9/29/82,,,0,-0.4,
9/30/82,,,0.1,0.1,
10/1/82,,,0.2,0.1,
10/2/82,,,0,-0.2,
10/3/82,,,0,0,
10/4/82,,,0.3,0.3,
10/5/82,,,0,-0.3,
10/6/82,,,0,0,
10/7/82,,,0.6,0.6,
10/8/82,,,0,-0.6,
10/9/82,,,0,0,
10/10/82,,,0.1,0.1,
10/11/82,,,0,-0.1,
10/12/82,,,0,0,
10/13/82,,,0,0,
10/14/82,,,0,0,
10/15/82,,,0,0,
10/16/82,,,0,0,
10/17/82,,,0.2,0.2,
10/18/82,,,0,-0.2,
10/19/82,,,0,0,
10/20/82,,,0,0,
10/21/82,,,0,0,
10/22/82,,,0.2,0.2,
10/23/82,,,0.5,0.3,
10/24/82,,,0.1,-0.4,
10/25/82,,,1,0.9,
10/26/82,,,0.6,-0.4,
10/27/82,,,0.3,-0.3,
10/28/82,,,0.4,0.1,
10/29/82,,,0.8,0.4,
10/30/82,,,0.4,-0.4,
10/31/82,,,0,-0.4,
11/1/82,,,0,0,
11/2/82,,,0,0,
11/3/82,,,0,0,
11/4/82,,,0.1,0.1,
11/5/82,,,0,-0.1,
11/6/82,,,0.4,0.4,
11/7/82,,,0.1,-0.3,
11/8/82,,,0.3,0.2,
11/9/82,,,0.3,0,
11/10/82,,,0.3,0,
11/11/82,,,0,-0.3,
11/12/82,,,0,0,
11/13/82,,,0,0,
11/14/82,,,0,0,
11/15/82,,,0.3,0.3,
11/16/82,,,0,-0.3,
11/17/82,,,1.1,1.1,
11/18/82,,,1.8,0.7,
11/19/82,,,0.7,-1.1,
11/20/82,,,0.5,-0.2,
11/21/82,,,0.2,-0.3,
11/22/82,,,0,-0.2,
11/23/82,,,0,0,
11/24/82,,,0,0,
11/25/82,,,0,0,
11/26/82,,,0,0,
11/27/82,,,0.4,0.4,
11/28/82,,,0.7,0.3,
11/29/82,,,0.9,0.2,
11/30/82,,,0.1,-0.8,
12/1/82,,,0.4,0.3,
12/2/82,,,0.6,0.2,
12/3/82,,,0.2,-0.4,
12/4/82,,,0.3,0.1,
12/5/82,,,0.9,0.6,
12/6/82,,,0.2,-0.7,
12/7/82,,,0,-0.2,
12/8/82,,,0,0,
12/9/82,,,0,0,
12/10/82,,,0.2,0.2,
12/11/82,,,0.1,-0.1,
12/12/82,,,0.4,0.3,
12/13/82,,,0.3,-0.1,
12/14/82,,,0.7,0.4,
12/15/82,,,1.1,0.4,
12/16/82,,,0.3,-0.8,
12/17/82,,,1,0.7,
12/18/82,,,1.1,0.1,
12/19/82,,,0,-1.1,
12/20/82,,,1.3,1.3,
12/21/82,,,2.3,1,
12/22/82,,,1.4,-0.9,
12/23/82,,,0.5,-0.9,
12/24/82,,,0,-0.5,
12/25/82,,,0,0,
12/26/82,,,0.4,0.4,
12/27/82,,,0,-0.4,
12/28/82,,,0.1,0.1,
12/29/82,,,0.1,0,
12/30/82,,,0,-0.1,
12/31/82,,,0,0,
1/1/83,,,0,0,
1/2/83,,,0.5,0.5,
1/3/83,,,0.3,-0.2,
1/4/83,,,0.8,0.5,
1/5/83,,,1.4,0.6,
1/6/83,,,0.9,-0.5,
1/7/83,,,0.5,-0.4,
1/8/83,,,0,-0.5,
1/9/83,,,0,0,
1/10/83,,,0,0,
1/11/83,,,0,0,
1/12/83,,,0,0,
1/13/83,,,0,0,
1/14/83,,,0,0,
1/15/83,,,0,0,
1/16/83,,,0,0,
1/17/83,,,0,0,
1/18/83,,,0,0,
1/19/83,,,0,0,
1/20/83,,,0,0,
1/21/83,,,0,0,
1/22/83,,,0.4,0.4,
1/23/83,,,0.4,0,
1/24/83,,,0.2,-0.2,
1/25/83,,,0.3,0.1,
1/26/83,,,0,-0.3,
1/27/83,,,0.5,0.5,
1/28/83,,,0.3,-0.2,
1/29/83,,,0.2,-0.1,
1/30/83,,,0.1,-0.1,
1/31/83,,,0,-0.1,
2/1/83,,,0,0,
2/2/83,,,0,0,
2/3/83,,,0,0,
2/4/83,,,0,0,
2/5/83,,,0.4,0.4,
2/6/83,,,0.5,0.1,
2/7/83,,,0.2,-0.3,
2/8/83,,,0.9,0.7,
2/9/83,,,1.3,0.4,
2/10/83,,,0.8,-0.5,
2/11/83,,,0.3,-0.5,
2/12/83,,,0.3,0,
2/13/83,,,0.4,0.1,
2/14/83,,,0.4,0,
2/15/83,,,0.5,0.1,
2/16/83,,,0.3,-0.2,
2/17/83,,,0.6,0.3,
2/18/83,,,0.3,-0.3,
2/19/83,,,0.2,-0.1,
2/20/83,,,0.3,0.1,
2/21/83,,,0,-0.3,
2/22/83,,,0.1,0.1,
2/23/83,,,0,-0.1,
2/24/83,,,0.1,0.1,
2/25/83,,,1.1,1,
2/26/83,,,0.4,-0.7,
2/27/83,,,0.7,0.3,
2/28/83,,,0.5,-0.2,
3/1/83,,,1,0.5,
3/2/83,,,0.6,-0.4,
3/3/83,,,0,-0.6,
3/4/83,,,0,0,
3/5/83,,,0.6,0.6,
3/6/83,,,0.4,-0.2,
3/7/83,,,0.2,-0.2,
3/8/83,,,0,-0.2,
3/9/83,,,0.2,0.2,
3/10/83,,,0.4,0.2,
3/11/83,,,0.6,0.2,
3/12/83,,,0.7,0.1,
3/13/83,,,1.6,0.9,
3/14/83,,,0,-1.6,
3/15/83,,,0.1,0.1,
3/16/83,,,0,-0.1,
3/17/83,,,0.2,0.2,
3/18/83,,,0.2,0,
3/19/83,,,0.1,-0.1,
3/20/83,,,0,-0.1,
3/21/83,,,0,0,
3/22/83,,,0.3,0.3,
3/23/83,,,0,-0.3,
3/24/83,,,0,0,
3/25/83,,,0,0,
3/26/83,,,0,0,
3/27/83,,,0.8,0.8,
3/28/83,,,0.1,-0.7,
3/29/83,,,1.3,1.2,
3/30/83,,,0.6,-0.7,
3/31/83,,,0.2,-0.4,
4/1/83,,,0.5,0.3,
4/2/83,,,0.5,0,
4/3/83,,,0.1,-0.4,
4/4/83,,,0,-0.1,
4/5/83,,,0,0,
4/6/83,,,0,0,
4/7/83,,,0,0,
4/8/83,,,0,0,
4/9/83,,,0,0,
4/10/83,,,0,0,
4/11/83,,,0,0,
4/12/83,,,0,0,
4/13/83,,,0,0,
