Date,Air Temperature Observed (degF) Start of Day Values,Precipitation Increment - Snow-adj (in),Change In Soil Temperature Observed -8in (degF)
4/26/03,26,0,0
4/27/03,24,0,0
4/28/03,31,0,0
4/29/03,27,0,0
4/30/03,21,0,0
5/1/03,22,0.1,0
5/2/03,26,0,0
5/3/03,29,0.3,0
5/4/03,23,0.8,0
5/5/03,22,0,0
5/6/03,16,0,0
5/7/03,28,0.4,0
5/8/03,23,1.5,1
5/9/03,19,0.3,0
5/10/03,13,0.2,0
5/11/03,17,0.1,0
5/12/03,25,0,0
5/13/03,30,0,0
5/14/03,34,0,0
5/15/03,37,0.1,0
5/16/03,36,0.1,0
5/17/03,39,0,0
5/18/03,37,0,0
5/19/03,30,0.1,0
5/20/03,29,0,0
5/21/03,34,0,0
5/22/03,38,0,0
5/23/03,44,0,0
5/24/03,41,0.2,0
5/25/03,42,0,0
5/26/03,38,0,0
5/27/03,40,0,0
5/28/03,49,0.1,0
5/29/03,48,0,0
5/30/03,45,0.2,0
5/31/03,40,0.1,0
6/1/03,44,0.1,0
6/2/03,42,0,8
6/3/03,47,0,2
6/4/03,46,0,2
6/5/03,37,0,1
6/6/03,35,0,0
6/7/03,41,0,0
6/8/03,40,0,2
6/9/03,42,0,-1
6/10/03,44,0,0
6/11/03,39,0,1
6/12/03,39,0,1
6/13/03,36,0,-1
6/14/03,39,0,2
6/15/03,42,0,2
6/16/03,43,0,1
6/17/03,44,0,1
6/18/03,49,0,-4
6/19/03,48,0,0
6/20/03,42,0,0
6/21/03,40,0,0
6/22/03,41,0,1
6/23/03,41,0,0
6/24/03,35,0,-2
6/25/03,34,0,-3
6/26/03,34,0,-1
6/27/03,43,0,3
6/28/03,50,0,3
6/29/03,50,0,2
6/30/03,50,0,2
7/1/03,48,0,1
7/2/03,44,0,0
7/3/03,46,0,1
7/4/03,48,0,0
7/5/03,51,0,1
7/6/03,49,0,0
7/7/03,48,0,0
7/8/03,49,0,0
7/9/03,50,0,2
7/10/03,54,0,1
7/11/03,54,0,0
7/12/03,56,0,0
7/13/03,55,0,1
7/14/03,54,0,0
7/15/03,54,0,0
7/16/03,56,0,-2
7/17/03,56,0,-1
7/18/03,57,0,-1
7/19/03,58,0,1
7/20/03,52,0,-1
7/21/03,54,0,0
7/22/03,58,0,-1
7/23/03,52,0,0
7/24/03,53,0,0
7/25/03,48,0,1
7/26/03,48,0,-1
7/27/03,53,0.5,1
7/28/03,54,0,-3
7/29/03,53,0,0
7/30/03,50,0.1,1
7/31/03,51,0.5,0
8/1/03,46,0,-2
8/2/03,49,0.1,-1
8/3/03,46,0,0
8/4/03,47,0,1
8/5/03,48,0,1
8/6/03,49,0,2
8/7/03,53,0,0
8/8/03,50,0.3,-2
8/9/03,47,0.5,0
8/10/03,47,0,-2
8/11/03,51,0,2
8/12/03,53,0.2,0
8/13/03,49,0,-1
8/14/03,54,0.1,1
8/15/03,51,0.7,-1
8/16/03,44,0.2,-1
8/17/03,45,0,-2
8/18/03,47,0,1
8/19/03,49,0,1
8/20/03,50,0,1
8/21/03,47,0,-1
8/22/03,48,0.4,-1
8/23/03,46,0.2,0
8/24/03,46,0,-2
8/25/03,46,0,2
8/26/03,50,0,-1
8/27/03,51,0,0
8/28/03,50,0,1
8/29/03,46,0.2,-1
8/30/03,45,0,-1
8/31/03,43,0,-1
9/1/03,49,1,0
9/2/03,44,0,-2
9/3/03,46,0,1
9/4/03,48,0,1
9/5/03,47,0,-1
9/6/03,46,0,1
9/7/03,43,0,0
9/8/03,45,0.1,-1
9/9/03,41,0,-1
9/10/03,37,0.1,-2
9/11/03,35,0,-2
9/12/03,39,0,0
9/13/03,42,0,0
9/14/03,35,0,0
9/15/03,39,0,-1
9/16/03,48,0,1
9/17/03,45,0,0
9/18/03,29,0,-1
9/19/03,35,0,-2
9/20/03,39,0,1
9/21/03,41,0,0
9/22/03,41,0,0
9/23/03,43,0,0
9/24/03,48,0,1
9/25/03,43,0,1
9/26/03,49,0,0
9/27/03,54,0,0
9/28/03,46,0,1
9/29/03,45,0,-1
9/30/03,46,0,1
10/1/03,44,0,-1
10/2/03,46,0.3,0
10/3/03,39,0.5,-1
10/4/03,36,0,-2
10/5/03,35,0,0
10/6/03,40,0,0
10/7/03,37,0,0
10/8/03,38,0,0
10/9/03,40,0,-1
10/10/03,42,0,1
10/11/03,31,0,-1
10/12/03,,0,-2
10/13/03,,0,-1
10/14/03,,0,0
10/15/03,,0,-1
10/16/03,39,0,-1
10/17/03,39,0,0
10/18/03,43,0,1
10/19/03,44,0,0
10/20/03,39,0,1
10/21/03,49,0,0
10/22/03,46,0,1
10/23/03,39,0,0
10/24/03,40,0,-1
10/25/03,31,0,-1
10/26/03,35,0,-1
10/27/03,37,0,-1
10/28/03,42,0,1
10/29/03,39,0,1
10/30/03,32,0,0
10/31/03,28,0.1,-1
11/1/03,,0.2,
11/2/03,,0.2,
11/3/03,,0.8,
11/4/03,,0.1,
11/5/03,,0,
11/6/03,,0.1,
11/7/03,,0,
11/8/03,,0,
11/9/03,,0.4,
11/10/03,,0,
11/11/03,,0,
11/12/03,,0.3,
11/13/03,,0,
11/14/03,,0,
11/15/03,,0,
11/16/03,,0.5,
11/17/03,,0.2,
11/18/03,,0.3,
11/19/03,,0,
11/20/03,,0,
11/21/03,,0,
11/22/03,,0.2,
11/23/03,,0,
11/24/03,,0,
11/25/03,16,0,
11/26/03,13,0,-1
11/27/03,10,0.1,0
11/28/03,24,0.1,0
11/29/03,29,0,0
11/30/03,35,0,0
12/1/03,32,0,0
12/2/03,28,0,0
12/3/03,22,0,0
12/4/03,24,0,0
12/5/03,29,0,-1
12/6/03,34,0.1,0
12/7/03,30,0.6,0
12/8/03,22,0.4,0
12/9/03,6,0,1
12/10/03,17,0,0
12/11/03,,0,
12/12/03,,0.5,
12/13/03,,0.3,
12/14/03,,0.2,
12/15/03,,0,
12/16/03,,0,
12/17/03,,0.1,
12/18/03,29,0.1,
12/19/03,30,0,0
12/20/03,34,0.1,0
12/21/03,27,0.3,0
12/22/03,19,0,0
12/23/03,21,0,0
12/24/03,26,0,0
12/25/03,24,0.8,0
12/26/03,27,1.2,0
12/27/03,4,0.1,0
12/28/03,2,0,0
12/29/03,2,0.4,0
12/30/03,18,0.3,0
12/31/03,16,0,0
1/1/04,13,0.1,0
1/2/04,20,1,0
1/3/04,17,1.3,0
1/4/04,-6,0,0
1/5/04,-9,0.1,0
1/6/04,4,0.1,0
1/7/04,20,0.5,0
1/8/04,17,0,0
1/9/04,20,0,0
1/10/04,24,0,0
1/11/04,22,0,0
1/12/04,20,0,0
1/13/04,18,0,0
1/14/04,20,0,0
1/15/04,26,0,0
1/16/04,14,0,0
1/17/04,20,0,0
1/18/04,17,0,0
1/19/04,17,0,0
1/20/04,15,0,0
1/21/04,14,0,0
1/22/04,12,0,0
1/23/04,28,0,0
1/24/04,15,0,0
1/25/04,15,0,0
1/26/04,-1,0,0
1/27/04,7,0,0
1/28/04,20,0.2,0
1/29/04,16,0,0
1/30/04,19,0,0
1/31/04,21,0.1,0
2/1/04,-2,0,0
2/2/04,9,0.2,0
2/3/04,16,0.2,0
2/4/04,13,0.1,0
2/5/04,11,0.1,0
2/6/04,8,0,0
2/7/04,15,0.2,0
2/8/04,9,0.1,0
2/9/04,6,0,0
2/10/04,8,0,0
2/11/04,11,0,0
2/12/04,3,0,0
2/13/04,15,0.1,0
2/14/04,22,0,0
2/15/04,11,0,0
2/16/04,13,0.1,-1
2/17/04,22,0,0
2/18/04,31,0,0
2/19/04,23,0.1,0
2/20/04,17,0.1,0
2/21/04,19,0.1,0
2/22/04,17,0.3,0
2/23/04,21,0.2,0
2/24/04,23,0.2,0
2/25/04,20,0.1,0
2/26/04,24,0.5,0
2/27/04,16,0.4,0
2/28/04,12,0.5,0
2/29/04,14,0.2,0
3/1/04,12,0.1,0
3/2/04,15,0.1,0
3/3/04,10,0.1,0
3/4/04,14,0.1,0
3/5/04,15,0.1,0
3/6/04,19,0.1,1
3/7/04,21,0.1,0
3/8/04,28,0,0
3/9/04,34,0.1,0
3/10/04,29,0,0
3/11/04,31,0,0
3/12/04,27,0,0
3/13/04,28,0,0
3/14/04,28,0,0
3/15/04,31,0,0
3/16/04,28,0,0
3/17/04,31,0,0
3/18/04,30,0,0
3/19/04,32,0,0
3/20/04,36,0,0
3/21/04,37,0,0
3/22/04,40,0,0
3/23/04,38,0,0
3/24/04,34,0,0
3/25/04,30,0.1,0
3/26/04,33,0.5,0
3/27/04,25,0,0
3/28/04,20,0,0
3/29/04,23,0,0
3/30/04,32,0,0
3/31/04,34,0,0
4/1/04,32,0.2,0
4/2/04,31,0.6,0
4/3/04,29,0.3,0
4/4/04,29,0.1,0
4/5/04,29,0,0
4/6/04,33,0.4,0
4/7/04,32,0.2,1
4/8/04,30,0.2,0
4/9/04,27,0,0
4/10/04,24,0.1,0
4/11/04,21,0.1,0
4/12/04,32,0,0
4/13/04,29,0,0
4/14/04,32,0,0
4/15/04,31,0,0
4/16/04,32,0,0
4/17/04,30,0,0
4/18/04,25,0.8,0
4/19/04,22,0.2,0
4/20/04,22,0.1,0
4/21/04,29,0.4,0
4/22/04,27,0.6,0
4/23/04,25,0.1,0
4/24/04,24,0.1,0
4/25/04,31,0,0
4/26/04,29,0.1,0
4/27/04,34,0,0
4/28/04,37,0,0
4/29/04,22,0,0
4/30/04,21,0.1,0
5/1/04,30,0.1,0
5/2/04,39,0,0
5/3/04,42,0,0
5/4/04,39,0.1,0
5/5/04,44,0,0
5/6/04,37,0,0
5/7/04,36,0,0
5/8/04,40,0,0
5/9/04,38,0,0
5/10/04,38,0,0
5/11/04,34,0.1,0
5/12/04,26,0.5,0
5/13/04,24,0,0
5/14/04,31,0,0
5/15/04,35,0,0
5/16/04,39,0,0
5/17/04,39,0,0
5/18/04,37,0,0
5/19/04,37,0,1
5/20/04,37,0,2
5/21/04,34,0,0
5/22/04,32,0,3
5/23/04,33,0,0
5/24/04,32,0,2
5/25/04,33,0,0
5/26/04,31,0,1
5/27/04,39,0,1
5/28/04,39,0,2
5/29/04,33,0.7,0
5/30/04,29,0,-5
5/31/04,37,0,1
6/1/04,40,0,3
6/2/04,42,0,3
6/3/04,45,0,2
6/4/04,44,0,1
6/5/04,46,0,2
6/6/04,46,0,1
6/7/04,48,0,1
6/8/04,44,0,1
6/9/04,44,0.1,1
6/10/04,28,0,-1
6/11/04,34,0,-5
6/12/04,38,0,1
6/13/04,43,0,0
6/14/04,45,0,3
6/15/04,48,0.1,2
6/16/04,43,0.1,-3
6/17/04,43,0.1,-1
6/18/04,38,0,-2
6/19/04,44,0,1
6/20/04,42,0,3
6/21/04,47,0,1
6/22/04,42,0,-3
6/23/04,45,0,2
6/24/04,45,0,-2
6/25/04,45,0,-1
6/26/04,45,0.1,-1
6/27/04,44,0.2,0
6/28/04,44,0,0
6/29/04,44,0,0
6/30/04,41,0.3,-2
7/1/04,42,0,0
7/2/04,42,0,4
7/3/04,46,0,2
7/4/04,44,0,-2
7/5/04,48,0,2
7/6/04,46,0,1
7/7/04,51,0,1
7/8/04,48,0,2
7/9/04,46,0,-1
7/10/04,47,0,0
7/11/04,49,0,1
7/12/04,49,0,1
7/13/04,55,0,-1
7/14/04,52,0,0
7/15/04,50,0,-1
7/16/04,47,0,-2
7/17/04,49,0,1
7/18/04,48,0,-1
7/19/04,51,0,0
7/20/04,49,0,0
7/21/04,48,0,1
7/22/04,53,0.1,0
7/23/04,51,0,1
7/24/04,51,0,0
7/25/04,53,0,-1
7/26/04,47,0.2,-4
7/27/04,47,0,3
7/28/04,44,0.1,-1
7/29/04,46,0,-1
7/30/04,51,0,2
7/31/04,49,0.1,2
8/1/04,54,0,1
8/2/04,47,0.5,-2
8/3/04,45,0.4,-3
8/4/04,47,0,0
8/5/04,48,0,2
8/6/04,46,0,-1
8/7/04,46,0,1
8/8/04,48,0,1
8/9/04,54,0,1
8/10/04,51,0,1
8/11/04,51,0,1
8/12/04,55,0,-1
8/13/04,50,0,2
8/14/04,52,0,-2
8/15/04,45,0.2,-2
8/16/04,44,0.5,-2
8/17/04,42,0.2,-2
8/18/04,46,0.1,-1
8/19/04,43,0,1
8/20/04,43,0,-1
8/21/04,41,0.2,0
8/22/04,39,0.5,-1
8/23/04,45,0,1
8/24/04,41,0,0
8/25/04,42,0,0
8/26/04,44,0,0
8/27/04,37,0,1
8/28/04,37,0,-1
8/29/04,43,0.2,-1
8/30/04,45,0,0
8/31/04,47,0,0
9/1/04,48,0,1
9/2/04,48,0.1,1
9/3/04,51,0,0
9/4/04,34,0.1,-1
9/5/04,33,0,-4
9/6/04,44,0,0
9/7/04,46,0,1
9/8/04,44,0,1
9/9/04,48,0,1
9/10/04,45,0,-1
9/11/04,45,0,0
9/12/04,43,0,-1
9/13/04,47,0,0
9/14/04,47,0,0
9/15/04,38,0,-1
9/16/04,44,0,-1
9/17/04,44,0,1
9/18/04,46,0,0
9/19/04,38,0,-1
9/20/04,32,0.1,-1
9/21/04,28,0,-3
9/22/04,25,0,-2
9/23/04,32,0,-2
9/24/04,36,0,1
9/25/04,37,0,1
9/26/04,38,0,1
9/27/04,40,0,0
9/28/04,42,0.2,1
9/29/04,35,0.2,0
9/30/04,,0,-1
10/1/04,32,0,-1
10/2/04,33,0.2,-1
10/3/04,32,0.1,-1
10/4/04,35,0,0
10/5/04,35,0,0
10/6/04,32,0,0
10/7/04,39,0,0
10/8/04,40,0,0
10/9/04,37,0,0
10/10/04,42,0,1
10/11/04,33,0,-1
10/12/04,39,0,-1
10/13/04,33,0,0
10/14/04,37,0,-1
10/15/04,43,0,0
10/16/04,40,0,0
10/17/04,33,0,0
10/18/04,31,0.3,0
10/19/04,32,0.2,0
10/20/04,34,1.5,-1
10/21/04,32,2.5,0
10/22/04,25,0.4,0
10/23/04,20,0.3,0
10/24/04,27,1,0
10/25/04,29,0.1,0
10/26/04,25,0,0
10/27/04,29,0.6,0
10/28/04,25,0.4,0
10/29/04,19,0,0
10/30/04,16,0.1,0
10/31/04,25,0.1,0
11/1/04,11,0.2,0
11/2/04,23,0.2,0
11/3/04,25,0,0
11/4/04,26,0,0
11/5/04,28,0.1,0
11/6/04,33,0,0
11/7/04,32,0.2,0
11/8/04,34,1.5,0
11/9/04,23,0,0
11/10/04,28,0.1,0
11/11/04,28,0.4,-1
11/12/04,24,0.1,0
11/13/04,24,0.1,0
11/14/04,23,0,0
11/15/04,23,0,0
11/16/04,24,0,0
11/17/04,25,0,0
11/18/04,24,0,0
11/19/04,20,0,0
11/20/04,22,0,0
11/21/04,14,0.5,0
11/22/04,25,0,0
11/23/04,19,0,0
11/24/04,15,0.2,0
11/25/04,28,0.1,0
11/26/04,24,0.1,0
11/27/04,20,0.6,0
11/28/04,11,0,0
11/29/04,3,0.1,0
11/30/04,6,0,0
12/1/04,5,0.1,0
12/2/04,6,0,0
12/3/04,12,0.1,0
12/4/04,15,0,0
12/5/04,10,0,0
12/6/04,14,0.1,0
12/7/04,13,0.7,0
12/8/04,20,0.4,0
12/9/04,24,0.1,0
12/10/04,24,0.1,0
12/11/04,27,0,0
12/12/04,30,0,0
12/13/04,30,0,0
12/14/04,24,0,0
12/15/04,27,0,0
12/16/04,20,0,0
12/17/04,20,0,0
12/18/04,28,0,0
12/19/04,24,0,0
12/20/04,24,0,0
12/21/04,20,0,0
12/22/04,6,0.3,0
12/23/04,7,0,0
12/24/04,17,0,0
12/25/04,31,0,0
12/26/04,23,0,0
12/27/04,30,0,0
12/28/04,20,0.3,0
12/29/04,28,1.2,0
12/30/04,20,0.2,0
12/31/04,21,0.6,0
1/1/05,16,0.2,0
1/2/05,16,0.1,0
1/3/05,21,0.4,0
1/4/05,23,0.4,0
1/5/05,16,0.3,0
1/6/05,12,0.1,0
1/7/05,-5,0.3,0
1/8/05,17,0.3,0
1/9/05,26,0.2,0
1/10/05,31,0.9,0
1/11/05,28,1.2,0
1/12/05,12,0.1,0
1/13/05,6,0,0
1/14/05,11,0.1,0
1/15/05,12,0.1,0
1/16/05,20,0.2,0
1/17/05,23,0,0
1/18/05,,0,0
1/19/05,,0,0
1/20/05,,0,0
1/21/05,,0,0
1/22/05,29,0,0
1/23/05,29,0,0
1/24/05,30,0,0
1/25/05,,0,0
1/26/05,,0.4,0
1/27/05,26,0.3,0
1/28/05,,0.1,0
1/29/05,,0.2,0
1/30/05,,0,0
1/31/05,,0,0
2/1/05,18,0,0
2/2/05,17,0,0
2/3/05,,0,0
2/4/05,,0,0
2/5/05,,0.1,
2/6/05,14,0.2,
2/7/05,19,1,0
2/8/05,,0,
2/9/05,,0,
2/10/05,,0.5,
2/11/05,26,0.2,
2/12/05,29,0.9,0
2/13/05,,0.1,
2/14/05,,0.1,
2/15/05,,0.1,
2/16/05,24,0.3,
2/17/05,18,0.1,0
2/18/05,,0.3,
2/19/05,,0.3,
2/20/05,,0.3,
2/21/05,17,0.2,
2/22/05,23,0.2,
2/23/05,,0.5,
2/24/05,22,0,
2/25/05,,0.2,
2/26/05,12,0,
2/27/05,17,0,0
2/28/05,,0.4,
3/1/05,,0,
3/2/05,,0.2,
3/3/05,22,0.1,
3/4/05,15,0.1,
3/5/05,,0,
3/6/05,,0,
3/7/05,,0.1,
3/8/05,,0,
3/9/05,32,0,
3/10/05,29,0,1
3/11/05,25,0,0
3/12/05,34,0,-1
3/13/05,31,0,0
3/14/05,11,0,1
3/15/05,10,0,0
3/16/05,17,0,-1
3/17/05,22,0,0
3/18/05,20,0,1
3/19/05,24,0.3,-1
3/20/05,25,1.1,0
3/21/05,21,0.2,0
3/22/05,14,0.2,0
3/23/05,26,1.7,0
3/24/05,20,0.3,0
3/25/05,20,0.2,0
3/26/05,12,0.1,0
3/27/05,16,0.1,0
3/28/05,33,0.5,0
3/29/05,15,0.6,0
3/30/05,15,0.2,0
3/31/05,10,0.1,1
4/1/05,19,0.1,-1
4/2/05,24,0,0
4/3/05,29,0,0
4/4/05,29,0.1,0
4/5/05,15,0.1,0
4/6/05,34,0.1,0
4/7/05,33,0.1,0
4/8/05,35,0.4,0
4/9/05,20,0.6,0
4/10/05,20,0.7,0
4/11/05,10,0.2,0
4/12/05,21,0,0
4/13/05,33,0,1
4/14/05,31,0,-1
4/15/05,26,0.1,0
4/16/05,34,0,0
4/17/05,31,0,0
4/18/05,33,0,0
4/19/05,29,0.4,0
4/20/05,19,0,0
4/21/05,19,0,1
4/22/05,30,0.1,-1
4/23/05,31,0.4,0
4/24/05,32,1,0
4/25/05,27,0.4,0
4/26/05,28,0.2,1
4/27/05,29,1,-1
4/28/05,28,0.4,0
4/29/05,24,0.1,0
4/30/05,26,0.4,0
5/1/05,30,0.9,0
5/2/05,26,0.1,0
5/3/05,30,0.1,0
5/4/05,30,0.3,0
5/5/05,36,0.1,0
5/6/05,31,0.6,0
5/7/05,27,0.4,0
5/8/05,32,0.1,0
5/9/05,31,0.4,0
5/10/05,33,0.4,0
5/11/05,23,0.9,0
5/12/05,27,0,0
5/13/05,29,0.1,0
5/14/05,34,0,0
5/15/05,33,0.1,0
5/16/05,39,0.3,0
5/17/05,25,0,0
5/18/05,30,0.1,1
5/19/05,36,0,0
5/20/05,37,0.1,-1
5/21/05,41,0,0
5/22/05,40,0,0
5/23/05,40,0,0
5/24/05,42,0,0
5/25/05,40,0,0
5/26/05,39,0,0
5/27/05,42,0.1,0
5/28/05,39,0,0
5/29/05,38,0,0
5/30/05,40,0,0
5/31/05,33,0,0
6/1/05,39,0.1,0
6/2/05,37,0.6,0
6/3/05,33,0.9,0
6/4/05,31,0.1,0
6/5/05,34,0.1,0
6/6/05,37,0,0
6/7/05,36,0,0
6/8/05,32,0.1,0
6/9/05,35,0,0
6/10/05,30,0.1,0
6/11/05,34,1,0
6/12/05,32,0.1,0
6/13/05,39,0.1,0
6/14/05,38,0.1,0
6/15/05,42,0,0
6/16/05,40,0,0
6/17/05,40,0.1,0
6/18/05,41,0,0
6/19/05,42,0.1,0
6/20/05,45,0.2,1
6/21/05,49,0,0
6/22/05,46,0.3,3
6/23/05,41,0.1,2
6/24/05,42,0,2
6/25/05,39,0.1,2
6/26/05,37,0.1,0
6/27/05,41,0,2
6/28/05,47,0,1
6/29/05,43,0,0
6/30/05,44,0,1
7/1/05,47,0,2
7/2/05,47,0,2
7/3/05,48,0,2
7/4/05,46,0,1
7/5/05,48,0,1
7/6/05,47,0,1
7/7/05,47,0,-1
7/8/05,46,0,1
7/9/05,47,0,0
7/10/05,48,0,1
7/11/05,47,0,0
7/12/05,58,0,0
7/13/05,55,0,2
7/14/05,56,0,0
7/15/05,62,0,-2
7/16/05,54,0,0
7/17/05,58,0,2
7/18/05,53,0,1
7/19/05,55,0,1
7/20/05,56,0,-1
7/21/05,55,0,3
7/22/05,59,0.2,-1
7/23/05,49,0.2,-3
7/24/05,49,0,-2
7/25/05,47,0,0
7/26/05,47,0,0
7/27/05,46,0,2
7/28/05,51,0,0
7/29/05,50,0,0
7/30/05,50,0,-1
7/31/05,51,0.2,-1
8/1/05,51,0,-1
8/2/05,47,0,-1
8/3/05,45,0,-1
8/4/05,48,0,-1
8/5/05,47,0,0
8/6/05,46,0.2,0
8/7/05,46,0.1,-1
8/8/05,49,0,0
8/9/05,52,0,1
8/10/05,48,0,1
8/11/05,46,0,-1
8/12/05,48,0,0
8/13/05,48,0,1
8/14/05,43,0.1,1
8/15/05,47,0.3,-2
8/16/05,41,0.1,-2
8/17/05,42,0,1
8/18/05,44,0,1
8/19/05,45,0,0
8/20/05,41,0.2,-1
8/21/05,44,0,0
8/22/05,44,0,0
8/23/05,48,0,-1
8/24/05,42,0.1,0
8/25/05,46,0,1
8/26/05,44,0,0
8/27/05,47,0,0
8/28/05,47,0,1
8/29/05,49,0,1
8/30/05,51,0,0
8/31/05,40,0,0
9/1/05,43,0,-1
9/2/05,47,0,-1
9/3/05,46,0.1,0
9/4/05,44,0,-1
9/5/05,43,0,0
9/6/05,43,0,0
9/7/05,45,0,-1
9/8/05,46,0,1
9/9/05,49,0,0
9/10/05,38,0,0
9/11/05,38,0,-2
9/12/05,38,0,-1
9/13/05,32,0,-1
9/14/05,33,0,-1
9/15/05,34,0.1,0
9/16/05,40,0,0
9/17/05,37,0,-1
9/18/05,37,0,0
9/19/05,36,0.1,0
9/20/05,44,0,0
9/21/05,49,0,2
9/22/05,34,0,-1
9/23/05,39,0,-2
9/24/05,42,0,1
