Date,Air Temperature Average (degF),Precipitation Increment - Snow-adj (in),Change In Precipitation Increment - Snow-adj (in),Change In Soil Moisture Percent -8in (pct)
11/2/00,35,0,0,
11/3/00,35,0,0,
11/4/00,38,0,0,
11/5/00,30,0,0,
11/6/00,29,0,0,
11/7/00,27,0,0,
11/8/00,28,0.5,0.5,
11/9/00,21,0.2,-0.3,
11/10/00,20,0.1,-0.1,
11/11/00,21,0,-0.1,
11/12/00,21,0,0,
11/13/00,23,0,0,
11/14/00,23,0.3,0.3,
11/15/00,22,0,-0.3,
11/16/00,21,0,0,
11/17/00,23,0,0,
11/18/00,26,0,0,
11/19/00,33,0.1,0.1,
11/20/00,37,0.1,0,
11/21/00,36,0,-0.1,
11/22/00,33,0,0,
11/23/00,31,0,0,
11/24/00,32,0,0,
11/25/00,30,0,0,
11/26/00,35,0,0,
11/27/00,36,0,0,
11/28/00,34,0.1,0.1,
11/29/00,34,0.3,0.2,
11/30/00,29,0,-0.3,
12/1/00,33,0,0,
12/2/00,36,0,0,
12/3/00,38,0,0,
12/4/00,41,0,0,
12/5/00,41,0,0,
12/6/00,39,0,0,
12/7/00,37,0,0,
12/8/00,35,0,0,
12/9/00,32,1,1,
12/10/00,26,0.1,-0.9,
12/11/00,21,0.3,0.2,
12/12/00,24,0.2,-0.1,
12/13/00,25,0.5,0.3,
12/14/00,30,0.6,0.1,
12/15/00,28,0.1,-0.5,
12/16/00,29,0,-0.1,
12/17/00,24,0,0,
12/18/00,24,0,0,
12/19/00,32,0,0,
12/20/00,35,0,0,
12/21/00,37,0.1,0.1,
12/22/00,32,0,-0.1,
12/23/00,30,0,0,
12/24/00,26,0.1,0.1,
12/25/00,22,0,-0.1,
12/26/00,31,0,0,
12/27/00,32,0,0,
12/28/00,36,0,0,
12/29/00,36,0.1,0.1,
12/30/00,36,0,-0.1,
12/31/00,35,0,0,
1/1/01,36,0,0,
1/2/01,36,0,0,
1/3/01,38,0,0,
1/4/01,41,0,0,
1/5/01,40,0,0,
1/6/01,40,0,0,
1/7/01,37,0,0,
1/8/01,34,0,0,
1/9/01,29,0.2,0.2,
1/10/01,30,0.1,-0.1,
1/11/01,28,0.8,0.7,
1/12/01,26,0,-0.8,
1/13/01,23,0.5,0.5,
1/14/01,21,0,-0.5,
1/15/01,18,0,0,
1/16/01,16,0,0,
1/17/01,18,0,0,
1/18/01,23,0,0,
1/19/01,24,0.3,0.3,
1/20/01,27,0,-0.3,
1/21/01,34,0,0,
1/22/01,36,0,0,
1/23/01,31,0,0,
1/24/01,30,0.1,0.1,
1/25/01,24,0.1,0,
1/26/01,24,0.2,0.1,
1/27/01,25,0,-0.2,
1/28/01,23,0,0,
1/29/01,22,0.6,0.6,
1/30/01,18,0.1,-0.5,
1/31/01,20,0,-0.1,
2/1/01,26,0.1,0.1,
2/2/01,33,0.1,0,
2/3/01,38,0,-0.1,
2/4/01,44,0,0,
2/5/01,38,0,0,
2/6/01,26,0.2,0.2,
2/7/01,19,0.5,0.3,
2/8/01,22,0.1,-0.4,
2/9/01,20,0.1,0,
2/10/01,23,0.3,0.2,
2/11/01,22,0.4,0.1,
2/12/01,22,0,-0.4,
2/13/01,22,0,0,
2/14/01,17,0,0,
2/15/01,24,0.1,0.1,
2/16/01,30,0,-0.1,
2/17/01,33,0.1,0.1,
2/18/01,33,0.1,0,
2/19/01,31,0.1,0,
2/20/01,31,0,-0.1,
2/21/01,31,0.2,0.2,
2/22/01,32,0.1,-0.1,
2/23/01,25,0,-0.1,
2/24/01,25,0.2,0.2,
2/25/01,28,0.3,0.1,
2/26/01,31,0,-0.3,
2/27/01,24,0,0,
2/28/01,26,0,0,
3/1/01,30,0.3,0.3,
3/2/01,27,0.4,0.1,
3/3/01,25,0.1,-0.3,
3/4/01,34,0.1,0,
3/5/01,39,0,-0.1,
3/6/01,46,0,0,
3/7/01,46,0,0,
3/8/01,42,0,0,
3/9/01,30,0.4,0.4,
3/10/01,35,0,-0.4,
3/11/01,31,0,0,
3/12/01,39,0,0,
3/13/01,43,0,0,
3/14/01,34,0,0,
3/15/01,34,0.2,0.2,
3/16/01,30,0,-0.2,
3/17/01,33,0.2,0.2,
3/18/01,45,0,-0.2,
3/19/01,48,0,0,
3/20/01,48,0.3,0.3,
3/21/01,44,0,-0.3,
3/22/01,47,0,0,
3/23/01,47,0,0,
3/24/01,50,0,0,
3/25/01,44,0,0,
3/26/01,39,0,0,
3/27/01,38,0.4,0.4,
3/28/01,43,0.5,0.1,
3/29/01,40,0,-0.5,
3/30/01,43,0,0,
3/31/01,46,0.1,0.1,
4/1/01,41,0.3,0.2,
4/2/01,28,0.5,0.2,
4/3/01,25,0.1,-0.4,
4/4/01,29,0.1,0,
4/5/01,34,0,-0.1,
4/6/01,33,0.1,0.1,
4/7/01,28,0.2,0.1,
4/8/01,23,0.1,-0.1,
4/9/01,27,0,-0.1,
4/10/01,32,0,0,
4/11/01,27,0.8,0.8,
4/12/01,29,0.1,-0.7,
4/13/01,33,0,-0.1,
4/14/01,35,0,0,
4/15/01,44,0.1,0.1,
4/16/01,53,0,-0.1,
4/17/01,53,0,0,
4/18/01,47,0.2,0.2,
4/19/01,35,0.1,-0.1,
4/20/01,31,0.3,0.2,
4/21/01,35,0.1,-0.2,
4/22/01,40,0,-0.1,
4/23/01,47,0,0,
4/24/01,52,0,0,
4/25/01,57,0,0,
4/26/01,60,0,0,
4/27/01,58,0,0,
4/28/01,46,0,0,
4/29/01,44,0,0,
4/30/01,56,0,0,
5/1/01,41,0,0,
5/2/01,32,0,0,
5/3/01,41,0,0,
5/4/01,50,0,0,
5/5/01,51,0,0,
5/6/01,48,0,0,
5/7/01,57,0,0,
5/8/01,64,0,0,
5/9/01,61,0,0,
5/10/01,59,0,0,
5/11/01,65,0,0,
5/12/01,65,0,0,
5/13/01,55,0,0,
5/14/01,54,0,0,
5/15/01,52,0.7,0.7,
5/16/01,53,0.1,-0.6,
5/17/01,55,0,-0.1,
5/18/01,55,0,0,
5/19/01,57,0,0,
5/20/01,57,0,0,
5/21/01,54,0,0,
5/22/01,63,0,0,
5/23/01,71,0,0,
5/24/01,72,0,0,
5/25/01,71,0,0,
5/26/01,64,0,0,
5/27/01,62,0,0,
5/28/01,60,0,0,
5/29/01,56,0,0,
5/30/01,59,0,0,
5/31/01,63,0,0,
6/1/01,67,0,0,
6/2/01,55,0,0,
6/3/01,39,0,0,
6/4/01,45,0,0,
6/5/01,49,0,0,
6/6/01,53,0,0,
6/7/01,64,0,0,
6/8/01,67,0,0,
6/9/01,63,0,0,
6/10/01,63,0,0,
6/11/01,55,0.3,0.3,
6/12/01,43,0.4,0.1,
6/13/01,45,0.1,-0.3,
6/14/01,58,0,-0.1,
6/15/01,60,0,0,
6/16/01,67,0,0,
6/17/01,65,0,0,
6/18/01,57,0,0,
6/19/01,63,0,0,
6/20/01,69,0,0,
6/21/01,76,0,0,
6/22/01,76,0,0,
6/23/01,70,0,0,
6/24/01,64,0,0,
6/25/01,56,0,0,
6/26/01,62,0,0,
6/27/01,,0,0,
6/28/01,69,0,0,
6/29/01,70,0,0,
6/30/01,74,0,0,
7/1/01,74,0,0,
7/2/01,78,0,0,
7/3/01,82,0,0,
7/4/01,76,0,0,
7/5/01,68,0,0,
7/6/01,69,0,0,
7/7/01,58,0.4,0.4,
7/8/01,64,0,-0.4,
7/9/01,70,0,0,
7/10/01,67,0,0,
7/11/01,66,0,0,
7/12/01,67,0.1,0.1,
7/13/01,69,0,-0.1,
7/14/01,68,0,0,
7/15/01,64,0,0,
7/16/01,61,0,0,
7/17/01,60,0,0,
7/18/01,61,0,0,
7/19/01,64,0,0,
7/20/01,64,0,0,
7/21/01,62,0,0,
7/22/01,65,0,0,
7/23/01,67,0,0,
7/24/01,71,0,0,
7/25/01,73,0,0,
7/26/01,72,0,0,
7/27/01,73,0,0,
7/28/01,70,0,0,
7/29/01,67,0,0,
7/30/01,54,0.3,0.3,
7/31/01,57,0,-0.3,
8/1/01,69,0,0,
8/2/01,73,0,0,
8/3/01,72,0,0,
8/4/01,67,0,0,
8/5/01,71,0,0,
8/6/01,79,0.1,0.1,
8/7/01,80,0,-0.1,
8/8/01,79,0,0,
8/9/01,71,0,0,
8/10/01,72,0,0,
8/11/01,73,0,0,
8/12/01,71,0,0,
8/13/01,73,0,0,
8/14/01,75,0,0,
8/15/01,75,0,0,
8/16/01,75,0,0,
8/17/01,76,0,0,
8/18/01,74,0,0,
8/19/01,68,0,0,
8/20/01,67,0,0,
8/21/01,65,0,0,
8/22/01,65,0,0,
8/23/01,63,0,0,
8/24/01,64,0,0,
8/25/01,71,0,0,
8/26/01,77,0,0,
8/27/01,77,0,0,
8/28/01,74,0,0,
8/29/01,72,0,0,
8/30/01,71,0,0,
8/31/01,71,0,0,
9/1/01,71,0,0,
9/2/01,70,0,0,
9/3/01,71,0,0,
9/4/01,70,0,0,
9/5/01,61,0,0,
9/6/01,,0,0,
9/7/01,,0,0,
9/8/01,,0,0,
9/9/01,,0,0,
9/10/01,,0,0,
9/11/01,,0,0,
9/12/01,,0.4,0.4,
9/13/01,,0,-0.4,
9/14/01,,0,0,
9/15/01,,0,0,
9/16/01,,0.2,0.2,
9/17/01,,0,-0.2,
9/18/01,,0,0,
9/19/01,,0,0,
9/20/01,,0,0,
9/21/01,,0,0,
9/22/01,,0,0,
9/23/01,,0,0,
9/24/01,,0,0,
9/25/01,,0,0,
9/26/01,,0,0,
9/27/01,,0,0,
9/28/01,,0,0,
9/29/01,,0,0,
9/30/01,,0,0,
10/1/01,,0,0,
10/2/01,,0,0,
10/3/01,,0,0,
10/4/01,,0,0,
10/5/01,,0,0,
10/6/01,,0,0,
10/7/01,,0,0,
10/8/01,,0,0,
10/9/01,,0,0,
10/10/01,,0,0,
10/11/01,41,0.4,0.4,
10/12/01,42,0,-0.4,
10/13/01,51,0,0,
10/14/01,53,0,0,
10/15/01,52,0,0,
10/16/01,58,0,0,
10/17/01,50,0,0,
10/18/01,46,0,0,
10/19/01,54,0,0,
10/20/01,55,0,0,
10/21/01,52,0,0,
10/22/01,47,0,0,
10/23/01,40,0,0,
10/24/01,35,0,0,
10/25/01,44,0,0,
10/26/01,52,0,0,
10/27/01,52,0,0,
10/28/01,,0,0,
10/29/01,52,0,0,
10/30/01,46,0.7,0.7,
10/31/01,39,0,-0.7,
11/1/01,41,0,0,
11/2/01,46,0,0,
11/3/01,50,0,0,
11/4/01,52,0,0,
11/5/01,50,0,0,
11/6/01,46,0,0,
11/7/01,36,0.1,0.1,
11/8/01,41,0,-0.1,
11/9/01,42,0,0,
11/10/01,43,0,0,
11/11/01,42,0,0,
11/12/01,45,0,0,
11/13/01,38,0.1,0.1,
11/14/01,39,0,-0.1,
11/15/01,44,0,0,
11/16/01,46,0,0,
11/17/01,40,0,0,
11/18/01,32,0,0,
11/19/01,39,0,0,
11/20/01,45,0,0,
11/21/01,38,1.7,1.7,
11/22/01,34,0.1,-1.6,
11/23/01,26,0.1,0,
11/24/01,27,0.9,0.8,
11/25/01,24,0.2,-0.7,
11/26/01,22,0,-0.2,
11/27/01,17,0.1,0.1,
11/28/01,20,0.8,0.7,
11/29/01,25,1.3,0.5,
11/30/01,22,0,-1.3,
12/1/01,29,0.1,0.1,
12/2/01,30,1.1,1,
12/3/01,27,0.1,-1,
12/4/01,22,0,-0.1,
12/5/01,28,1.9,1.9,
12/6/01,35,0.2,-1.7,
12/7/01,30,0,-0.2,
12/8/01,32,0,0,
12/9/01,28,0,0,
12/10/01,18,0.1,0.1,
12/11/01,20,0,-0.1,
12/12/01,20,0.2,0.2,
12/13/01,29,2,1.8,
12/14/01,23,0,-2,
12/15/01,20,0.1,0.1,
12/16/01,27,0,-0.1,
12/17/01,30,0.4,0.4,
12/18/01,30,0.4,0,
12/19/01,32,0,-0.4,
12/20/01,30,0,0,
12/21/01,24,0.1,0.1,
12/22/01,22,0.2,0.1,
12/23/01,23,0,-0.2,
12/24/01,21,0,0,
12/25/01,30,0,0,
12/26/01,29,0.1,0.1,
12/27/01,33,0,-0.1,
12/28/01,34,0,0,
12/29/01,31,0.2,0.2,
12/30/01,32,0.1,-0.1,
12/31/01,32,0.8,0.7,
1/1/02,33,0.2,-0.6,
1/2/02,34,0.4,0.2,
1/3/02,31,0.1,-0.3,
1/4/02,25,0.1,0,
1/5/02,29,0.6,0.5,
1/6/02,34,0.8,0.2,
1/7/02,42,0,-0.8,
1/8/02,43,0,0,
1/9/02,32,0.2,0.2,
1/10/02,30,0.1,-0.1,
1/11/02,39,0.1,0,
1/12/02,38,0,-0.1,
1/13/02,27,0.1,0.1,
1/14/02,27,0,-0.1,
1/15/02,18,0,0,
1/16/02,17,0,0,
1/17/02,21,0,0,
1/18/02,19,0,0,
1/19/02,20,0,0,
1/20/02,26,0.1,0.1,
1/21/02,29,0.5,0.4,
1/22/02,17,0,-0.5,
1/23/02,18,0.2,0.2,
1/24/02,24,0,-0.2,
1/25/02,40,0,0,
1/26/02,34,0.4,0.4,
1/27/02,21,0,-0.4,
1/28/02,15,0.2,0.2,
1/29/02,14,0,-0.2,
1/30/02,15,0,0,
1/31/02,19,0,0,
2/1/02,24,0,0,
2/2/02,26,0,0,
2/3/02,27,0,0,
2/4/02,30,0,0,
2/5/02,32,0,0,
2/6/02,36,0,0,
2/7/02,39,0.2,0.2,
2/8/02,25,0,-0.2,
2/9/02,25,0,0,
2/10/02,32,0,0,
2/11/02,37,0,0,
2/12/02,32,0,0,
2/13/02,34,0,0,
2/14/02,30,0,0,
2/15/02,31,0,0,
2/16/02,36,0,0,
2/17/02,34,0,0,
2/18/02,31,0,0,
2/19/02,30,1.1,1.1,
2/20/02,34,1.1,0,
2/21/02,39,0.4,-0.7,
2/22/02,46,0,-0.4,
2/23/02,35,0.2,0.2,
2/24/02,34,0,-0.2,
2/25/02,26,0.1,0.1,
2/26/02,33,0,-0.1,
2/27/02,33,0,0,
2/28/02,25,0,0,
3/1/02,20,0,0,
3/2/02,22,0,0,
3/3/02,27,0.1,0.1,
3/4/02,35,0,-0.1,
3/5/02,37,0,0,
3/6/02,38,0.5,0.5,
3/7/02,27,0.3,-0.2,
3/8/02,17,0.1,-0.2,
3/9/02,31,0.5,0.4,
3/10/02,32,0.7,0.2,
3/11/02,39,0,-0.7,
3/12/02,38,0.1,0.1,
3/13/02,23,0.7,0.6,
3/14/02,22,0.2,-0.5,
3/15/02,23,0.3,0.1,
3/16/02,21,0.3,0,
3/17/02,19,0.4,0.1,
3/18/02,23,0,-0.4,
3/19/02,36,0,0,
3/20/02,45,0,0,
3/21/02,48,0,0,
3/22/02,48,0,0,
3/23/02,36,0,0,
3/24/02,33,0.1,0.1,
3/25/02,35,0.4,0.3,
3/26/02,41,0,-0.4,
3/27/02,41,0,0,
3/28/02,44,0,0,
3/29/02,48,0,0,
3/30/02,50,0,0,
3/31/02,51,0,0,
4/1/02,54,0,0,
4/2/02,49,0,0,
4/3/02,50,0,0,
4/4/02,54,0,0,
4/5/02,54,0,0,
4/6/02,47,0,0,
4/7/02,45,0,0,
4/8/02,48,0,0,
4/9/02,42,0.5,0.5,
4/10/02,41,0,-0.5,
4/11/02,47,0,0,
4/12/02,49,0,0,
4/13/02,56,0,0,
4/14/02,51,0,0,
4/15/02,31,0.1,0.1,
4/16/02,28,0.7,0.6,
4/17/02,28,0.5,-0.2,
4/18/02,29,0,-0.5,
4/19/02,33,0,0,
4/20/02,35,0,0,
4/21/02,42,0.2,0.2,
4/22/02,48,0,-0.2,
4/23/02,46,0,0,
4/24/02,42,0,0,
4/25/02,52,0,0,
4/26/02,46,0,0,
4/27/02,36,0,0,
4/28/02,40,0.1,0.1,
4/29/02,42,0,-0.1,
4/30/02,38,0,0,
5/1/02,40,0.1,0.1,
5/2/02,,0.1,0,
5/3/02,47,0,-0.1,
5/4/02,49,0.1,0.1,
5/5/02,,0,-0.1,
5/6/02,51,0,0,
5/7/02,34,0,0,
5/8/02,36,0,0,
5/9/02,44,0,0,
5/10/02,37,0.1,0.1,
5/11/02,43,0.3,0.2,
5/12/02,52,0,-0.3,
5/13/02,58,0,0,
5/14/02,51,0,0,
5/15/02,51,0,0,
5/16/02,53,0,0,
5/17/02,59,0,0,
5/18/02,62,0,0,
5/19/02,58,0,0,
5/20/02,36,0,0,
5/21/02,35,0.2,0.2,
5/22/02,39,0.2,0,
5/23/02,42,0,-0.2,
5/24/02,50,0,0,
5/25/02,59,0,0,
5/26/02,58,0,0,
5/27/02,61,0,0,
5/28/02,61,0,0,
5/29/02,66,0,0,
5/30/02,71,0,0,
5/31/02,69,0,0,
6/1/02,54,0,0,
6/2/02,51,0,0,
6/3/02,56,0.2,0.2,
6/4/02,62,0,-0.2,
6/5/02,67,0,0,
6/6/02,63,0,0,
6/7/02,57,0,0,
6/8/02,38,0,0,
6/9/02,36,0,0,
6/10/02,42,0,0,
6/11/02,53,0.3,0.3,
6/12/02,61,0,-0.3,
6/13/02,68,0,0,
6/14/02,69,0,0,
6/15/02,71,0,0,
6/16/02,70,0,0,
6/17/02,65,0,0,
6/18/02,58,0,0,
6/19/02,55,0,0,
6/20/02,63,0,0,
6/21/02,58,1.4,1.4,
6/22/02,57,0.2,-1.2,
6/23/02,67,0,-0.2,
6/24/02,70,0,0,
6/25/02,73,0,0,
6/26/02,75,0,0,
6/27/02,73,0,0,
6/28/02,69,0,0,
6/29/02,68,0,0,
6/30/02,70,0,0,
7/1/02,70,0,0,
7/2/02,74,0,0,
7/3/02,72,0,0,
7/4/02,67,0,0,
7/5/02,71,0,0,
7/6/02,74,0,0,
7/7/02,75,0,0,
7/8/02,67,0,0,
7/9/02,73,0,0,
7/10/02,83,0,0,
7/11/02,85,0,0,
7/12/02,84,0,0,
7/13/02,80,0,0,
7/14/02,75,0,0,
7/15/02,75,0,0,
7/16/02,74,0,0,
7/17/02,72,0,0,
7/18/02,63,0,0,
7/19/02,61,0,0,
7/20/02,69,0,0,
7/21/02,76,0,0,
7/22/02,76,0,0,
7/23/02,73,0,0,
7/24/02,74,0,0,
7/25/02,71,0,0,
7/26/02,69,0,0,
7/27/02,69,0,0,
7/28/02,68,0,0,
7/29/02,72,0,0,
7/30/02,75,0,0,
7/31/02,70,0,0,
8/1/02,73,0,0,
8/2/02,72,0,0,
8/3/02,70,0,0,
8/4/02,65,0,0,
8/5/02,60,0,0,
8/6/02,58,0,0,
8/7/02,57,0,0,
8/8/02,60,0,0,
8/9/02,64,0,0,
8/10/02,71,0,0,
8/11/02,75,0,0,
8/12/02,71,0,0,
8/13/02,71,0,0,
8/14/02,76,0,0,
8/15/02,75,0,0,
8/16/02,73,0,0,
8/17/02,73,0,0,
8/18/02,68,0,0,
8/19/02,69,0,0,
8/20/02,60,0,0,
8/21/02,54,0,0,
